pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
news-common:3006,news-common:3006,,test,"the Pentagon , saying that Boykin requested it , is investigating his remarks .",the Pentagon has begun an official investigation into Boykin 's remarks .,"the pentagon , say that boykin request it , be investigate his remark .",the pentagon have begin an official investigation into boykin 's remark .,0.75,13-11 0-0 1-1 12-10 5-8 10-6 ,{},{},{},0-0 1-1 5-8 9-2 9-3 9-6 10-2 10-3 10-6 12-10 13-11 ,11-8 ,{},{}
news-common:2951,news-common:2951,,test,"the technology-heavy Nasdaq Composite Index gained 25.75 points , or 1.5 percent , to 1,746.46 , its highest close in about 15 months .","the technology-laced Nasdaq Composite index .ixic was down 1.55 points , or 0.09 percent , at 1,744.91 .","the technology-heavy nasdaq composite index gain 25.75 point , or 1.5 percent , to 1,746.46 , it high close in about 15 month .","the technology-laced nasdaq composite index .ixic be down 1.55 point , or 0.09 percent , at 1,744.91 .",0.7,23-18 2-2 3-3 4-4 7-10 8-11 9-12 11-14 12-15 ,{},{},{},0-0 1-1 2-2 3-3 4-4 7-9 8-10 9-11 11-13 12-14 13-15 23-17 ,6-8 10-12 14-16 ,{},{}
news-C:2651,news-C:2651,,test,"writing in the journal Geophysical Research Letters , Vincent 's team said all of the fresh water poured out of the 20 mile -lrb- 30 km -rrb- long Disraeli fjord .","writing in the journal Geophysical Research Letters , Vincent 's team said all of the fresh water poured out of the 20-mile-long Disraeli fjord .","write in the journal geophysical research letter , vincent 's team say all of the fresh water pour out of the 20 mile -lrb- 30 km -rrb- long disraeli fjord .","write in the journal geophysical research letter , vincent 's team say all of the fresh water pour out of the 20-mile-long disraeli fjord .",0.27586206896551724,30-24 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 28-22 29-23 21-21 22-21 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-21 27-21 28-22 29-23 30-24 ,{},{},{}
news-C:1251,news-C:1251,,test,"Greenspan is head of the U.S. central bank , which sets U.S. interest rates .","Greenspan 's Federal Reserve , the U.S. central bank , decides interest rates in the world 's largest economy .","greenspan be head of the u.s. central bank , which set u.s. interest rate .","greenspan 's federal reserve , the u.s. central bank , decide interest rate in the world 's large economy .",0.5909090909090908,14-19 4-5 5-6 6-7 7-8 8-9 12-11 13-12 0-0 ,{},{},{},0-0 4-5 5-6 6-7 7-8 10-10 12-11 13-12 14-19 ,11-13 11-14 11-15 11-16 11-17 11-18 ,{},{}
news-C:2572,news-C:2572,,test,the agency said it would not release the name of the 17-year-old involved because he is a minor .,the agency said it had no plans to release the name of the teenager involved because he was a minor .,the agency say it would not release the name of the 17-year-old involved because he be a minor .,the agency say it have no plan to release the name of the teenager involve because he be a minor .,0.4347826086956522,18-20 13-15 14-16 15-17 16-18 17-19 6-8 7-9 8-10 9-11 10-12 0-0 1-1 2-2 3-3 12-14 ,{},{},{},0-0 1-1 2-2 3-3 4-4 4-5 4-6 4-7 5-4 5-5 5-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 16-18 17-19 18-20 ,15-17 ,{},{}
news-C:958,news-C:958,,test,"this morning , at UM 's New York office , Coen revised his expectations downward , saying that spending would instead rise 4.6 percent to $ 247 billion .","speaking to reporters at a New York news conference , Universal McCann 's Coen projected that total U.S. ad spending will rise 4.6 percent to $ 247.7 billion this year .","this morning , at um 's new york office , coen revise his expectation downward , say that spend would instead rise 4.6 percent to $ 247 billion .","speak to reporter at a new york news conference , universal mccann 's coen project that total u.s. ad spending will rise 4.6 percent to $ 247.7 billion this year .",0.6428571428571428,28-30 21-21 22-22 23-23 24-24 25-25 6-5 7-6 16-0 18-19 27-27 10-13 ,{},{},{},3-3 6-5 7-6 10-13 16-14 17-15 18-19 19-20 21-21 22-22 23-23 24-24 25-25 27-27 28-30 ,4-10 26-26 ,{},{}
news-C:2705,news-C:2705,,test,the company emphasized that McDonald 's USA does not import any raw beef or hamburger patties from Canada for McDonald 's use in the United States .,McDonald 's said in a statement that it does not import any raw beef or hamburger patties from Canada for use in the United States .,the company emphasize that mcdonald 's usa do not import any raw beef or hamburger patty from canada for mcdonald 's use in the united state .,mcdonald 's say in a statement that it do not import any raw beef or hamburger patty from canada for use in the united state .,0.25,26-25 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 21-20 22-21 23-22 24-23 25-24 4-0 5-1 3-6 ,{},{},{},2-2 2-3 2-4 2-5 3-6 4-0 5-1 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 21-20 22-21 23-22 24-23 25-24 26-25 ,4-7 5-7 6-23 6-24 19-0 20-1 ,{},{}
news-C:1259,news-C:1259,,test,a couple have been arrested for starving their four sons while letting their daughters feast in front of them .,"a couple starved their four adopted sons for years while allowing their daughters to feast on takeaways , police and neighbours said today .",a couple have be arrest for starve their four son while let their daughter feast in front of them .,"a couple starve their four adopt son for year while allow their daughter to feast on takeaway , police and neighbour say today .",0.6451612903225806,19-23 6-2 7-3 8-4 0-0 1-1 12-11 13-12 9-6 14-14 4-5 11-10 10-9 ,{},{},{},0-0 1-1 6-2 7-3 8-4 9-6 10-9 11-10 12-11 13-12 14-14 19-23 ,{},{},{}
news-C:104,news-C:104,,test,"'' it 's probably not the easiest time to take over the shuttle program '' , he added '' , but I look forward to the challenge .","'' it is probably not the easiest time to come in and take over the shuttle program , but then again , I look forward to the challenge '' , he said .","'' it 's probably not the easy time to take over the shuttle program '' , he add '' , but i look forward to the challenge .","'' it be probably not the easy time to come in and take over the shuttle program , but then again , i look forward to the challenge '' , he say .",0.31034482758620685,27-32 3-3 4-4 5-5 6-6 7-7 8-8 21-22 22-23 23-24 24-25 25-26 26-27 9-12 10-13 11-14 12-15 13-16 14-28 15-29 16-30 0-0 1-1 19-17 20-18 17-31 2-2 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-12 10-13 11-14 12-15 13-16 14-28 15-29 16-30 17-31 20-18 21-22 22-23 23-24 24-25 25-26 26-27 27-32 ,{},{},{}
news-C:2190,news-C:2190,,test,"Sharon says he is willing to free the two as holding them will not bring back Arad , who Israel believes is held by Iran .","Sharon has said he is willing to free Dirani and Obeid because holding them will not bring back Arad , who Israel believes is held by Iran .","sharon say he be willing to free the two a hold them will not bring back arad , who israel believe be hold by iran .","sharon have say he be willing to free dirani and obeid because hold them will not bring back arad , who israel believe be hold by iran .",0.27586206896551724,25-27 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24 23-25 24-26 1-2 2-3 3-4 4-5 5-6 6-7 0-0 9-11 ,{},{},{},0-0 2-3 3-4 4-5 5-6 6-7 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24 23-25 24-26 25-27 ,1-1 1-2 7-8 7-9 7-10 8-8 8-9 8-10 ,{},{}
news-C:1,news-C:1,,test,"they had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","on June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .","they have publish an advertisement on the internet on june 10 , offer the cargo for sale , he add .","on june 10 , the ship 's owner have publish an advertisement on the internet , offer the explosive for sale .",0.36363636363636365,20-21 1-8 2-9 3-10 4-11 5-12 6-13 7-14 8-0 9-1 10-2 11-3 12-16 13-17 15-19 16-20 ,{},{},{},1-8 2-9 3-10 4-11 5-12 6-13 7-14 8-0 9-1 10-2 11-15 12-16 13-17 15-19 16-20 20-21 ,0-4 0-5 0-6 0-7 14-18 ,{},{}
news-C:556,news-C:556,,test,the first products are likely to be dongles costing between US$ 100 and US$ 150 that will establish connections between consumer electronics devices and PCs .,the first products will likely be dongles costing $ 100 to $ 150 that will establish connections between consumer electronics devices and PCs .,the first product be likely to be dongle cost between u $ 100 and u $ 150 that will establish connection between consumer electronics device and pc .,the first product will likely be dongle cost $ 100 to $ 150 that will establish connection between consumer electronics device and pc .,0.04347826086956519,27-23 15-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-20 25-21 26-22 0-0 1-1 2-2 6-5 7-6 8-7 11-8 12-9 4-4 ,{},{},{},0-0 1-1 2-2 4-4 6-5 7-6 8-7 9-10 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 ,3-3 ,{},{}
news-C:1036,news-C:1036,,test,it was to fly a plane in the White House '' .,"'' it was to fly a plane into the White House '' , Mr. Karas said .",it be to fly a plane in the white house '' .,"'' it be to fly a plane into the white house '' , mr. karas say .",0.3529411764705882,11-16 0-1 1-2 2-3 3-4 4-5 5-6 7-8 8-9 9-10 10-11 ,{},{},{},0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 11-12 ,{},{},{}
news-C:2058,news-C:2058,,test,"police searched Tanzi 's home near Parma on Wednesday , and prosecutors had sought to interrogate him that day only to find he had left Italy for an undisclosed foreign country .","magistrates searched Tanzi 's home near Parma on Wednesday and tried to question him the same day , only to find he had left Italy for an undisclosed foreign country .","police search tanzi 's home near parma on wednesday , and prosecutor have seek to interrogate him that day only to find he have leave italy for an undisclosed foreign country .","magistrate search tanzi 's home near parma on wednesday and try to question him the same day , only to find he have leave italy for an undisclosed foreign country .",0.2857142857142857,31-30 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 15-12 14-11 16-13 13-10 18-16 ,{},{},{},1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 10-9 14-11 15-12 16-13 17-14 17-15 18-16 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 31-30 ,0-0 11-0 12-10 13-10 ,{},{}
news-C:1468,news-C:1468,,test,the measures could be taken up by the full Senate as early as Friday .,Ratliff said he hopes to bring the two measures to the full Senate by Friday .,the measure could be take up by the full senate as early a friday .,ratliff say he hop to bring the two measure to the full senate by friday .,0.6666666666666667,14-15 7-10 8-11 9-12 13-14 1-8 0-6 4-5 6-13 ,{},{},{},0-6 1-8 7-10 8-11 9-12 10-13 11-13 12-13 13-14 14-15 ,2-3 2-4 2-5 2-9 3-3 3-4 3-5 3-9 4-3 4-4 4-5 4-9 5-3 5-4 5-5 5-9 6-3 6-4 6-5 6-9 ,{},{}
news-C:95,news-C:95,,test,but he added that the New York-based actor and producer is '' a private person and does n't care to have his treatment out for public consumption '' .,but he added that De Niro is '' a private person and does n't care to have his treatment out for public consumption '' .,but he add that the new york-based actor and producer be '' a private person and do n't care to have his treatment out for public consumption '' .,but he add that de niro be '' a private person and do n't care to have his treatment out for public consumption '' .,0.24137931034482762,28-24 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-20 25-21 26-22 27-23 0-0 1-1 2-2 3-3 ,{},{},{},0-0 1-1 2-2 3-3 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-20 25-21 26-22 27-23 28-24 ,4-4 4-5 5-4 5-5 6-4 6-5 7-4 7-5 8-4 8-5 9-4 9-5 ,{},{}
news-C:659,news-C:659,,test,U.S. corporate bond yield spreads tightened in spotty trading on Friday as Wall Street labored to get back on its feet after the largest power outage ever in North America .,"U.S. stocks rose slightly on feather-light volume on Friday , as Wall Street regrouped after the biggest-ever power outage in North America .",u.s. corporate bond yield spread tighten in spotty trading on friday a wall street labor to get back on it foot after the large power outage ever in north america .,"u.s. stock rise slightly on feather-light volume on friday , a wall street regroup after the biggest-ever power outage in north america .",0.6216216216216216,30-22 27-19 28-20 29-21 11-10 12-11 13-12 9-7 10-8 21-14 22-15 24-17 25-18 0-0 26-16 ,{},{},{},0-0 1-1 2-1 9-7 10-8 11-10 12-11 13-12 21-14 22-15 23-16 24-17 25-18 26-16 27-19 28-20 29-21 30-22 ,3-2 3-3 3-4 3-5 3-6 4-2 4-3 4-4 4-5 4-6 5-2 5-3 5-4 5-5 5-6 6-2 6-3 6-4 6-5 6-6 7-2 7-3 7-4 7-5 7-6 8-2 8-3 8-4 8-5 8-6 14-13 15-13 16-13 17-13 18-13 19-13 20-13 ,{},{}
news-C:772,news-C:772,,test,the decision unnerved voting officials who already have been warning that they have barely enough time to organize the election before the balloting is scheduled to begin .,the decision unnerved voting officials who already have been warning they have barely enough time to organize the election .,the decision unnerve voting official who already have be warn that they have barely enough time to organize the election before the balloting be schedule to begin .,the decision unnerve voting official who already have be warn they have barely enough time to organize the election .,0.21739130434782605,27-19 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 27-19 ,{},{},{}
news-C:2746,news-C:2746,,test,"'' the message is : if an individual is thinking of getting a flu shot , they should n't wait .","'' the message to the public is : if you are thinking of getting a flu shot , do n't wait any longer '' , he said .","'' the message be : if an individual be think of get a flu shot , they should n't wait .","'' the message to the public be : if you be think of get a flu shot , do n't wait any long '' , he say .",0.4285714285714286,20-27 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 0-0 1-1 2-2 3-6 4-7 5-8 18-19 19-20 ,{},{},{},0-0 1-1 2-2 3-6 4-7 5-8 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 17-18 17-19 18-18 18-19 19-20 19-21 19-22 ,6-9 7-9 ,{},{}
news-C:1211,news-C:1211,,test,seven of the nine Democratic presidential candidates were also scheduled to address the forum .,seven of nine Democratic candidates for president also said they would participate in the conference Monday .,seven of the nine democratic presidential candidate be also schedule to address the forum .,seven of nine democratic candidate for president also say they would participate in the conference monday .,0.6521739130434783,14-16 0-0 1-1 3-2 4-3 6-4 5-6 8-7 ,{},{},{},0-0 1-1 3-2 4-3 6-4 8-7 12-13 13-14 14-16 ,5-5 5-6 7-8 7-9 7-10 7-11 7-12 9-8 9-9 9-10 9-11 9-12 10-8 10-9 10-10 10-11 10-12 11-8 11-9 11-10 11-11 11-12 ,{},{}
