HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.pairID,Input.documentID,Input.segmentID,Input.hitType,Input.source,Input.target,Input.sourceLemmatized,Input.targetLemmatized,Input.jaccardDistance,Input.lengthDifference,Input.sureAlignments,Input.possAlignments,Input.sourceHighlights,Input.targetHighlights,Input.answerSureAlignments,Input.answerPossAlignments,Input.answerSourceHighlights,Input.answerTargetHighlights,Answer.activeTime,Answer.comment,Answer.endTime,Answer.possAlignments,Answer.sourceHighlights,Answer.startTime,Answer.submit,Answer.sureAlignments,Answer.targetHighlights,Approve,Reject
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:2718,,,test,the retailer said it came to the decision after hearing the opinions of customers and associates .,"the decision came after '' listening to our customers and associates '' , Melissa Berryhill , a spokeswoman for Wal-Mart , said .",the retailer say it come to the decision after hear the opinion of customer and associate .,"the decision come after '' listen to our customer and associate '' , melissa berryhill , a spokeswoman for wal-mart , say .",0.6,6,,,,,0-19 1-19 4-2 6-0 7-1 8-3 9-4 13-8 14-9 15-10 16-22 ,{},,,,,,1-17 1-18 1-19 ,,,,2-21 4-2 6-0 7-1 8-3 9-5 9-6 13-8 14-9 15-10 16-22 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:1296,,,test,"'' we will accede to the request while we explore all of our options '' , VeriSign spokesman Tom Galvin told Reuters .","we will accede to the request while we explore all of our options '' , said Russell Lewis , executive vice president of VeriSign 's Naming and Directory Services Group .","'' we will accede to the request while we explore all of our option '' , verisign spokesman tom galvin tell reuters .","we will accede to the request while we explore all of our option '' , say russell lewis , executive vice president of verisign 's naming and directory service group .",0.5151515151515151,8,,,,,1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-23 22-30 ,{},,,,,,{},,,,1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-23 20-15 21-29 22-30 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:1411,,,test,two Atlanta companies that have not been accused of wrongdoing -- Delta Air Lines Inc. and the Home Depot -- were mentioned as having excessive pay packages for its CEOs .,two Atlanta-based companies that have not been accused of wrongdoing -- Delta Air Lines and Home Depot -- were also mentioned by witnesses as having excessive pay packages for CEOs .,two atlanta company that have not be accuse of wrongdoing -- delta air line inc. and the home depot -- be mention a have excessive pay package for it ceo .,two atlanta-based company that have not be accuse of wrongdoing -- delta air line and home depot -- be also mention by witness a have excessive pay package for ceo .,0.25,0,,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 15-14 17-15 18-16 19-17 20-18 21-20 22-23 23-24 24-25 25-26 26-27 27-28 29-29 30-30 ,{},,,,,,{},,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 15-14 17-15 18-16 19-17 20-18 21-20 22-23 23-24 24-25 25-26 26-27 27-28 29-29 30-30 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:2006,,,test,the US investment bank said : '' we believe the long-term prospects for the energy sector in the UK remain attractive '' .,"'' we believe the long-term prospects for the energy sector in the UK remain attractive '' , Goldman said .",the u investment bank say : '' we believe the long-term prospect for the energy sector in the uk remain attractive '' .,"'' we believe the long-term prospect for the energy sector in the uk remain attractive '' , goldman say .",0.2857142857142857,3,,,,,4-18 6-0 7-1 8-2 9-3 10-4 11-5 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13 20-14 22-16 ,{},,,,,,{},,,,0-17 1-17 2-17 3-17 4-18 6-0 7-1 8-2 9-3 10-4 11-5 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13 20-14 21-15 22-19 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:963,,,test,"Tom Kasmer , a 14-year-old from Belmont , N.C. , got a word that sounded like '' zistee '' during yesterday 's competition .","the 14-year-old national spelling finalist who attends school in Belmont , N.C. , got a word that sounded like '' zistee '' during competition Wednesday .","tom kasmer , a 14-year-old from belmont , n.c. , get a word that sound like '' zistee '' during yesterday 's competition .","the 14-year-old national spelling finalist who attend school in belmont , n.c. , get a word that sound like '' zistee '' during competition wednesday .",0.48275862068965514,2,,,,,4-1 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 22-23 23-25 ,3-0 5-5 5-6 5-7 5-8 20-24 ,,,,,,5-8 20-24 ,,,,0-0 0-2 0-3 0-4 1-0 1-2 1-3 1-4 4-1 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 22-23 23-25 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:1486,,,test,about 10 percent of high school and 16 percent of elementary students must be proficient at math .,"in math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .",about 10 percent of high school and 16 percent of elementary student must be proficient at math .,"in math , 16 percent of elementary and middle school student and 9.6 percent of high school student must be proficient .",0.35,4,,,,,0-12 1-12 2-13 3-14 4-15 5-16 7-3 8-4 9-5 10-6 11-10 12-18 13-19 14-20 16-1 17-21 ,11-17 15-0 ,,,,,,1-12 ,,,,2-13 3-14 4-15 5-16 6-11 7-3 8-4 9-5 10-6 11-10 11-17 12-18 13-19 14-20 15-0 16-1 17-21 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:2988,,,test,"they said many had been beaten , and police officers also stormed private wards at the hospital and harassed patients .",they said the police officers also entered various private wards at the clinic and attacked patients .,"they say many have be beat , and police officer also storm private ward at the hospital and harass patient .",they say the police officer also enter various private ward at the clinic and attack patient .,0.5,4,,,,,0-0 1-1 8-3 9-4 10-5 11-6 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 ,{},,,,,,11-6 ,,,,0-0 1-1 8-3 9-4 10-5 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:3006,,,test,"the Pentagon , saying that Boykin requested it , is investigating his remarks .",the Pentagon has begun an official investigation into Boykin 's remarks .,"the pentagon , say that boykin request it , be investigate his remark .",the pentagon have begin an official investigation into boykin 's remark .,0.75,2,,,,,0-0 1-1 5-8 12-10 13-11 ,9-2 9-3 9-4 9-6 10-2 10-3 10-4 10-6 11-8 11-9 ,,,,,,11-8 ,,,,0-0 1-1 5-8 9-2 9-3 9-6 10-2 10-3 10-6 12-10 13-11 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:2951,,,test,"the technology-heavy Nasdaq Composite Index gained 25.75 points , or 1.5 percent , to 1,746.46 , its highest close in about 15 months .","the technology-laced Nasdaq Composite index .ixic was down 1.55 points , or 0.09 percent , at 1,744.91 .","the technology-heavy nasdaq composite index gain 25.75 point , or 1.5 percent , to 1,746.46 , it high close in about 15 month .","the technology-laced nasdaq composite index .ixic be down 1.55 point , or 0.09 percent , at 1,744.91 .",0.7,6,,,,,0-0 1-1 2-2 3-3 4-4 7-9 8-10 9-11 11-13 12-14 13-15 23-17 ,6-8 10-12 14-16 ,,,,,,{},,,,0-0 1-1 2-2 3-3 4-4 7-9 8-10 9-11 11-13 12-14 13-15 23-17 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:666,,,test,Japanese Prime Minister Keizo Obuchi expressed support for the air campaign . he also appealed to Baghdad to unconditionally accept U.N. weapons inspections .,Japanese Prime Minister Keizo Obuchi expressed support for the air campaign . he also appealed to Baghdad to unconditionally accept U.N. weapons inspections .,japanese prime minister keizo obuchi express support for the air campaign . he also appeal to baghdad to unconditionally accept u.n. weapon inspection .,japanese prime minister keizo obuchi express support for the air campaign . he also appeal to baghdad to unconditionally accept u.n. weapon inspection .,0.0,0,,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 ,{},,,,,,{},,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:512,,,test,"-lrb- AFP Canberra -rrb- yesterday , the Australian defense Minister Muer said that , Australia was granted permission to send an official to East Timor to scout Indonesia 's force movements .","-lrb- Reuters Canberra -rrb- Australia Minister for defense , McLachlan , said yesterday that Australia is preparing to send a military officer to East Timor to monitor Indonesian troops redeployment .","-lrb- afp canberra -rrb- yesterday , the australian defense minister muer say that , australia be grant permission to send an official to east timor to scout indonesia 's force movement .","-lrb- reuters canberra -rrb- australia minister for defense , mclachlan , say yesterday that australia be prepare to send a military officer to east timor to monitor indonesian troop redeployment .",0.6,1,,,,,0-0 2-2 3-3 4-12 8-7 9-5 11-11 12-13 14-14 18-17 19-18 20-19 21-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-27 29-28 30-29 31-30 ,7-4 10-9 15-15 15-16 16-15 16-16 17-15 17-16 ,,,,,,1-1 7-4 15-15 15-16 16-15 16-16 17-15 17-16 27-27 28-27 ,,,,0-0 2-2 3-3 4-12 8-7 9-5 11-11 12-13 14-14 18-17 19-18 20-19 21-20 21-21 22-22 23-23 24-24 25-25 26-26 29-28 30-29 31-30 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:597,,,test,trade to Japan surplus up to US$ 1.7billion .,trade to Japan surplus up to US$ 1.7billion .,trade to japan surplus up to u $ 1.7billion .,trade to japan surplus up to u $ 1.7billion .,0.0,0,,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 ,{},,,,,,{},,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:656,,,test,"further , each army unit should provide a reliable guarantee of security for reform , development and stability . they should actively join in with local economic development , and work hard to promote the collective prosperity of the people .","all military units should guarantee the reform , development and stability of the society while participating in the construction of regional economy and working towards the common prosperity of all nationalities .","far , each army unit should provide a reliable guarantee of security for reform , development and stability . they should actively join in with local economic development , and work hard to promote the collective prosperity of the people .","all military unit should guarantee the reform , development and stability of the society while participate in the construction of regional economy and working towards the common prosperity of all nationality .",0.7111111111111111,9,,,,,2-0 3-1 4-2 5-3 6-4 7-4 9-4 10-4 11-4 13-6 14-7 15-8 16-9 17-10 20-15 22-15 23-15 25-20 26-21 27-21 29-22 30-23 34-25 35-26 36-27 37-28 39-30 40-31 ,19-0 19-1 19-2 32-24 33-24 38-29 ,,,,,,26-21 32-24 33-24 38-29 38-30 39-29 39-30 ,,,,2-0 3-1 4-2 5-3 6-4 7-4 9-4 10-4 13-6 14-7 15-8 16-9 17-10 22-15 22-16 23-15 23-16 24-15 24-16 25-20 27-18 29-22 30-23 34-25 35-26 36-27 37-28 40-31 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:681,,,test,"-lrb- report from Kuala Lumpur -rrb- Lien Hoe expected that by way of bank loans , it may redeem the currently remaining 65 % or 53,810,000 ringgit of its bonds , before the end of this year .","-lrb- Kuala Lumpur -rrb- Lien Hoe is expected to redeem the rest 65 % of the bonds , whose tatal value is 53,810,000 lingji , at the end of this year by getting the loan finacing from banks .","-lrb- report from kuala lumpur -rrb- lien hoe expect that by way of bank loan , it may redeem the currently remain 65 % or 53,810,000 ringgit of it bond , before the end of this year .","-lrb- kuala lumpur -rrb- lien hoe be expect to redeem the rest 65 % of the bond , whose tatal value be 53,810,000 lingji , at the end of this year by get the loan finacing from bank .",0.4651162790697675,1,,,,,0-0 3-1 4-2 5-3 6-4 7-5 8-7 10-31 11-32 11-33 11-34 11-35 11-36 11-37 12-32 12-33 12-34 12-35 12-36 12-37 13-32 13-33 13-34 13-35 13-36 13-37 14-32 14-33 14-34 14-35 14-36 14-37 18-9 19-10 21-11 22-12 23-13 25-22 26-23 27-14 29-16 32-26 33-27 34-28 35-29 36-30 37-38 ,28-15 31-25 ,,,,,,16-4 16-5 28-15 28-18 29-18 ,,,,0-0 3-1 4-2 5-3 6-4 7-5 8-6 8-7 10-31 11-32 11-36 12-32 12-36 13-37 14-34 14-35 18-9 19-10 21-11 22-12 23-13 25-22 26-23 27-14 29-16 30-17 31-25 32-26 33-27 34-28 35-29 36-30 37-38 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:644,,,test,the Irish Republic Army declares cease-fire,Irish Republican Army announces ceasefire,the irish republic army declare cease-fire,irish republican army announces ceasefire,0.7777777777777778,1,,,,,1-0 3-2 4-3 5-4 ,2-1 ,,,,,,{},,,,1-0 2-1 3-2 4-3 5-4 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:588,,,test,Senator Lott expects the trial to begin on January 11 and to end in two weeks .,Senator Lott hopes that the trial will start on Jan. 11 and finish within two weeks .,senator lott expect the trial to begin on january 11 and to end in two week .,senator lott hop that the trial will start on jan. 11 and finish within two week .,0.5652173913043479,0,,,,,0-0 1-1 2-2 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 12-12 13-13 14-14 15-15 16-16 ,{},,,,,,13-13 ,,,,0-0 1-1 2-2 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 12-12 14-14 15-15 16-16 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:529,,,test,the above was a report from Toronto by VOA special correspondent Yan Ming .,the above is the report by Min Yan from Toronto 's The Voice of America .,the above be a report from toronto by voa special correspondent yan ming .,the above be the report by min yan from toronto 's the voice of america .,0.5263157894736843,2,,,,,0-0 1-1 4-4 5-8 6-9 7-5 8-12 8-13 8-14 11-7 13-15 ,2-2 3-3 12-6 ,,,,,,2-2 3-3 ,,,,0-0 1-1 4-4 5-8 6-9 7-5 8-12 8-13 8-14 11-7 12-6 13-15 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:594,,,test,"in its statement , Korean National Security Planning Bureau said , Kim Fuji of 67 years old and Piao Dongyi -lrb- both names are in transliteration -rrb- of 71 , have returned to Korea through a third country .",the National Security Planning Bureau said in a statement that 67-year-old Kim Fu-ji and 71-year-old Park Dung-yi recently returned home via a third country .,"in it statement , korean national security planning bureau say , kim fuji of 67 year old and piao dongyi -lrb- both name be in transliteration -rrb- of 71 , have return to korea through a third country .",the national security planning bureau say in a statement that 67-year-old kim fu-ji and 71-year-old park dung-yi recently return home via a third country .,0.6888888888888889,14,,,,,0-6 2-8 5-1 6-2 7-3 8-4 9-5 11-11 12-12 13-10 14-10 15-10 16-10 27-14 28-14 31-18 32-19 33-19 34-20 35-21 36-22 37-23 38-24 ,1-7 18-15 19-16 ,,,,,,1-7 ,,,,0-6 2-8 5-1 6-2 7-3 8-4 9-5 11-11 12-12 13-10 14-10 15-10 16-10 17-13 18-15 19-16 27-14 28-14 30-18 31-18 32-19 33-19 34-20 35-21 36-22 37-23 38-24 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:668,,,test,Bowin reported from the site of the destroyed bunker that about 400 civilians lost their lives .,as he had visited the destroyed air-raid shelter to find nearly 400 civilians died .,bowin report from the site of the destroyed bunker that about 400 civilian lose their life .,a he have visit the destroyed air-raid shelter to find nearly 400 civilian die .,0.8076923076923077,2,,,,,6-4 7-5 8-7 10-10 11-11 12-12 13-13 14-13 15-13 16-14 ,0-1 1-9 9-9 ,,,,,,0-1 ,,,,3-4 6-4 7-5 8-6 8-7 11-11 12-12 13-13 14-13 15-13 16-14 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,mtc-trial:561,,,test,"VOA correspondent Fleikos said in his another report from Buenos Aires that , several American State Department senators brought this dispute to the meeting hall in Buenos Aires on Tuesday .","another report from Buenos Aires sent by Vlekus , a VOA correspondent , said that several American congressmen brought this dispute to the conference hall in Buenos Aires last Tuesday .","voa correspondent fleikos say in his another report from buenos aire that , several american state department senator bring this dispute to the meeting hall in buenos aire on tuesday .","another report from buenos aire send by vlekus , a voa correspondent , say that several american congressman bring this dispute to the conference hall in buenos aire last tuesday .",0.4,0,,,,,0-10 1-11 3-13 6-0 7-1 8-2 9-3 10-4 11-14 13-15 14-16 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 29-29 30-30 ,2-7 17-17 ,,,,,,{},,,,0-10 1-11 2-7 3-13 6-0 7-1 8-2 9-3 10-4 11-14 13-15 14-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 29-29 30-30 ,,,
