pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
artb_507-7-31,artb_507,7,HITInput,"On his part , Jutiriz stated that Chinese economic growth received global admiration .",Guaterez said that China 's economic development is admired by the whole world .,"on his part , jutiriz state that chinese economic growth receive global admiration .",guaterez say that china 's economic development be admire by the whole world .,0.88,0,5-1 9-6 7-3 11-12 13-13 12-8 8-5 6-2,,,,,,,
VOM19981230_0700_0515-1-13,VOM19981230_0700_0515,1,HITInput,Disagreement occurred among several key U.S. Republican congressmen over President Clinton 's impeachment trial .,Keymen of the Senators of the US disagreed on how to impeach President Clinton .,disagreement occur among several key u.s. republican congressman over president clinton 's impeachment trial .,keymen of the senator of the u disagree on how to impeach president clinton .,0.88,0,10-13 5-6 12-11 7-3 0-7 14-14 9-12,,,,,,,
urd-WL-12-174261-7433644-25-0,urd-WL-12-174261-7433644,25,HITInput,This is an eternal blessing whose fruits will be enjoyed by the future generations .,It is a means of earning perpetual virtues and it has impacts till generations .,this be an eternal blessing whose fruit will be enjoy by the future generation .,it be a mean of earn perpetual virtue and it have impact till generation .,0.88,0,3-6 14-14 13-13,,,,,,,
urd-NG-102-174502-11516120-post214-4-2,urd-NG-102-174502-11516120-post214,4,HITInput,"So , simply put , this is called gangsterism - do whatever you please .","In simple words , they may be termed as behaving like Big Brother .","so , simply put , this be call gangsterism - do whatever you please .","in simple word , they may be term a behaving like big brother .",0.88,1,7-2 2-1 14-13,,,,,,,
VOM19981115_0700_0898-8-24,VOM19981115_0700_0898,8,HITInput,Then the army drove an armored personnel carrier to save this badly wounded person .,Later the soldiers rescued the seriously injured man with an armed transport vehicle .,then the army drive an armored personnel carrier to save this badly wound person .,later the soldier rescue the seriously injured man with an armed transport vehicle .,0.88,1,9-3 7-11 11-5 2-10 12-6 13-7 14-13,,,,,,,
urd-WL-80-174265-7496746-26-3,urd-WL-80-174265-7496746,26,HITInput,Does Sunnah ( Prophet 's sayings or doings ) teach all this ?,Do we have to learn from the Prophet alone about how to handle such things ?,do sunnah ( prophet 's saying or doings ) teach all this ?,do we have to learn from the prophet alone about how to handle such thing ?,0.88,3,3-7 12-15 9-4,,,,,,,
chtb_263-4-17,chtb_263,4,HITInput,The conference also identified that transportation is the key area for cooperation .,"In this meeting , the traffic was confirmed as one of the important items in sub-regional co-operation .",the conference also identify that transportation be the key area for cooperation .,"in this meeting , the traffic be confirm a one of the important item in sub-regional co-operation .",0.88,5,5-5 12-17 1-2 8-12 7-11 11-16 6-6,,,,,,,
cmn-WL-8-89514-7839535-27-2,cmn-WL-8-89514-7839535,27,HITInput,But I 'm also therefore pretty strict in choosing my friends .,"But , as this is the case , I guard myself rather carefully against bad company .",but i 'm also therefore pretty strict in choose my friend .,"but , a this be the case , i guard myself rather carefully against bad company .",0.88,5,5-11 11-16,,,,,,,
VOM19981204_0700_1672-18-13,VOM19981204_0700_1672,18,HITInput,"In private , some people are worried , fearing it might affect the businesses in Canada .",Someone privately worried that this will influence the Canadian enterprises ' business .,"in private , some people be worried , fear it might affect the business in canada .",someone privately worry that this will influence the canadian enterprise ' business .,0.88,4,15-8 1-1 16-12 11-6 13-11 12-7 8-2,,,,,,,
cmn-WL-8-89514-7839535-15-1,cmn-WL-8-89514-7839535,15,HITInput,Use your head in the way you do things and follow your heart in dealing with relationships .,"Handle things with a little bit of reason , handle friendship with a little bit of emotion .",use your head in the way you do thing and follow your heart in deal with relationship .,"handle thing with a little bit of reason , handle friendship with a little bit of emotion .",0.88,0,14-0 15-2 17-17 8-1,,,,,,,
groups.google.com_LNTS_14974749cb4b6f49_CMN_20060216_084900-3-3,groups.google.com_LNTS_14974749cb4b6f49_CMN_20060216_084900,3,HITInput,The gunpowder smoke of the Chinese Super Cup Soccer Game will soon bring flames of war .,The China Football Association Super League is set for some fierce battles .,the gunpowder smoke of the chinese super cup soccer game will soon bring flame of war .,the china football association super league be set for some fierce battle .,0.88,4,4-0 5-1 9-7 7-2 15-11 16-12 6-4,,,,,,,
urd-WL-12-174261-7457007-25-5,urd-WL-12-174261-7457007,25,HITInput,"Due to this fire , different buildings were gutted and moderate-sized blasts were also heard .",The sound of explosions could be heard in intervals because of continued shootings .,"due to this fire , different building be gutted and moderate-sized blast be also hear .",the sound of explosion could be hear in interval because of continued shooting .,0.88,2,3-12 15-13 12-5 14-6 11-3,,,,,,,
cmn-NG-4-76730-7413200-3-2,cmn-NG-4-76730-7413200,3,HITInput,"The latest first-hand news , plus my own comments -- Refund guaranteed if it 's fake .",I am presenting the most recent first-hand information . Authenticity is guaranteed .,"the late first-hand news , plus my own comment -- refund guaranteed if it 's fake .",i be present the most recent first-hand information . authenticity be guarantee .,0.88,4,2-6 0-3 3-7 1-5 16-12 11-11,,,,,,,
AFA20030207.9120-4-1,AFA20030207.9120,4,HITInput,This process was put into motion recently . '',"`` It has been a short time since these efforts started , '' Fleischer said in a press conference .",this process be put into motion recently . '',"`` it have be a short time since these effort start , '' fleischer say in a press conference .",0.88,11,8-12 7-19,,,,,,,
urd-NG-102-174502-11516120-post214-4-2,urd-NG-102-174502-11516120-post214,4,HITInput,"So , simply put , this is called gangsterism - do whatever you please .","In simple words , they may be termed as behaving like Big Brother .","so , simply put , this be call gangsterism - do whatever you please .","in simple word , they may be term a behaving like big brother .",0.88,1,7-2 2-1 14-13,,,,,,,
urd-NG-102-174502-11516120-post213-2-3,urd-NG-102-174502-11516120-post213,2,HITInput,Looking at the bombing by Israel on unarmed people prompts our hearts to do what else other than to cry ?,One can not help shedding tears of blood over the deaths of unarmed civilians in Israeli bombing ?,look at the bombing by israel on unarmed people prompt our heart to do what else other than to cry ?,one can not help shed tear of blood over the death of unarmed civilian in israeli bombing ?,0.8787878787878788,3,19-5 5-15 3-16 20-17 7-12,,,,,,,
urd-NG-102-174502-11516120-post213-2-3,urd-NG-102-174502-11516120-post213,2,HITInput,Looking at the bombing by Israel on unarmed people prompts our hearts to do what else other than to cry ?,One can not help shedding tears of blood over the deaths of unarmed civilians in Israeli bombing ?,look at the bombing by israel on unarmed people prompt our heart to do what else other than to cry ?,one can not help shed tear of blood over the death of unarmed civilian in israeli bombing ?,0.8787878787878788,3,19-5 5-15 3-16 20-17 7-12,,,,,,,
cmn-WL-8-89585-7834330-19-5,cmn-WL-8-89585-7834330,19,HITInput,"To me , the scene of circles appearing before my eyes no longer has any other function except for inducing the effect of dizziness caused by radiation .",The eye-full of circles makes you nothing else but dizzy .,"to me , the scene of circle appear before my eye no longer have any other function except for induce the effect of dizziness cause by radiation .",the eye-full of circle make you nothing else but dizzy .,0.8787878787878788,17,27-10 5-2 21-4 10-1 23-9 6-3,,,,,,,
ZBN19981002_0117-1-34,ZBN19981002_0117,1,HITInput,"Indonesian Police Summon Reporter for Trial , Accused of Releasing Information on Woman 's May Insurrection Violation .",The writer was called for questioning after reporting the news that a Chinese woman was violated during the rebellion in May .,"indonesian police summon reporter for trial , accuse of release information on woman 's may insurrection violation .",the writer be call for question after report the news that a chinese woman be violate during the rebellion in may .,0.8787878787878788,4,2-3 4-4 12-13 3-7 17-21 10-9 16-15 15-18 14-20,,,,,,,
urd-WL-34-174270-7476673-2-2,urd-WL-34-174270-7476673,2,HITInput,Consciousness is nothing short of torture .,Being informed does not mean that one has less agony .,consciousness be nothing short of torture .,be inform do not mean that one have less agony .,0.875,4,6-10 3-8,,,,,,,
urd-WL-76-174258-7457031-13-5,urd-WL-76-174258-7457031,13,HITInput,May God grant that the writing may be fluent enough .,May Allah increase his power of pen .,may god grant that the writing may be fluent enough .,may allah increase his power of pen .,0.875,3,1-1 0-0 10-7,,,,,,,
urd-WL-83-174268-11364090-post9-8-2,urd-WL-83-174268-11364090-post9,8,HITInput,Centuries have passed since I 've written so much .,It took ages to write this little .,century have pass since i 've write so much .,it take age to write this little .,0.875,2,6-4 0-2 8-6 9-7,,,,,,,
DEW_URD_20090106.0006-14-2,DEW_URD_20090106.0006,14,HITInput,"However , both Foreign Ministers are making different statements about the war in the Middle East .",It is a particularly delicate situation because Kouchner and Schwarzenberg take very different public stances on the Mideast conflict .,"however , both foreign minister be make different statement about the war in the middle east .",it be a particularly delicate situation because kouchner and schwarzenberg take very different public stance on the mideast conflict .,0.875,3,6-10 10-16 11-18 7-12 15-17 16-19,,,,,,,
AFC20030208.0047-11-0,AFC20030208.0047,11,HITInput,But all this is beyond your control . '',"However , you can not choose yourself . ''",but all this be beyond your control . '',"however , you can not choose yourself . ''",0.875,0,7-7 8-8,,,,,,,
urd-NG-102-174502-11516120-post214-5-0,urd-NG-102-174502-11516120-post214,5,HITInput,Hit on the head with full force and then do n't even let weep over it . Inflicting all-around abuse and wo n't let you complain either .,They beat us and we are n't even allowed to cry .,hit on the head with full force and then do n't even let weep over it . inflict all-around abuse and wo n't let you complain either .,they beat u and we be n't even allow to cry .,0.875,16,9-5 27-11 7-3 11-7 12-8 13-10 10-6 0-1,,,,,,,
VOM19981122_0900_1102-5-41,VOM19981122_0900_1102,5,HITInput,So far their whereabouts is still unclear .,At the present time nobody know where they are .,so far their whereabouts be still unclear .,at the present time nobody know where they be .,0.875,2,7-9,,,,,,,
urd-NG-102-174502-11516165-post13-5-0,urd-NG-102-174502-11516165-post13,5,HITInput,It does n't seem to be a period of colonization .,Colonial regime is apparently not seen .,it do n't seem to be a period of colonization .,colonial regime be apparently not see .,0.875,4,9-0 10-6,,,,,,,
ZBN19981026_0045-5-37,ZBN19981026_0045,5,HITInput,"With the sound of the blast of 1,215 kg of plastic explosives , the building was finally reduced to 360,000,000 kg of rubble .","In the explosion of the 1215-kilogram moulding dynamite , it eventually turned into a pile of 0.36 billion-kilogram debris .","with the sound of the blast of 1,215 kg of plastic explosive , the building be finally reduce to 360,000,000 kg of rubble .","in the explosion of the 1215-kilogram moulding dynamite , it eventually turn into a pile of 0.36 billion-kilogram debris .",0.875,4,4-4 5-2 22-18 3-3 16-10 23-19 21-15,,,,,,,
urd-WL-83-174268-11364090-post9-8-2,urd-WL-83-174268-11364090-post9,8,HITInput,Centuries have passed since I 've written so much .,It took ages to write this little .,century have pass since i 've write so much .,it take age to write this little .,0.875,2,6-4 0-2 8-6 9-7,,,,,,,
cmn-WL-8-89600-7821328-21-4,cmn-WL-8-89600-7821328,21,HITInput,"If you continue to create an uproar and try to revolt , you will be unavoidably killed !",Do n't you dare to further instigate a revolution ! That will deny you a chance to escape the fate of decapitation .,"if you continue to create an uproar and try to revolt , you will be unavoidably kill !",do n't you dare to further instigate a revolution ! that will deny you a chance to escape the fate of decapitation .,0.875,5,10-8 17-22,,,,,,,
XIN20020330.0095-2-4,XIN20020330.0095,2,HITInput,Permanent representatives of twenty-two member states attended the meeting .,22 Arab countries took part inthe meeting .,permanent representative of twenty-two member state attend the meeting .,22 arab country take part inthe meeting .,0.875,2,8-6 3-0 9-7 5-2,,,,,,,
chtb_324-10-16,chtb_324,10,HITInput,They have more indoor training at home .,Most of the time they practice indoors in China .,they have more indoor training at home .,most of the time they practice indoors in china .,0.875,2,3-6 7-9,,,,,,,
CCTV4_NEWS3_CMN_20060217_075800_447_833.qrtr-62-1,CCTV4_NEWS3_CMN_20060217_075800_447_833.qrtr,62,HITInput,They do n't take this organization as a really crucial factor .,"As for the group , uh , they are not regarding it as an especially key aspect .",they do n't take this organization a a really crucial factor .,"a for the group , uh , they be not regard it a an especially key aspect .",0.875,6,11-17 10-16 5-3 7-13 6-12 9-15,,,,,,,
urd-NG-102-174502-11516165-post13-5-0,urd-NG-102-174502-11516165-post13,5,HITInput,It does n't seem to be a period of colonization .,Colonial regime is apparently not seen .,it do n't seem to be a period of colonization .,colonial regime be apparently not see .,0.875,4,9-0 10-6,,,,,,,
chtb_324-10-14,chtb_324,10,HITInput,They have more indoor training at home .,`` They were used to practicing indoors in China .,they have more indoor training at home .,`` they be use to practice indoors in china .,0.875,2,3-6 7-9,,,,,,,
urd-WL-80-174265-7496746-18-3,urd-WL-80-174265-7496746,18,HITInput,High volume sounds of Naats ( poetic lines in praise of Prophet Mohammad ) were going on .,The Naat was being recited continuously in a deep voice .,high volume sound of naats ( poetic line in praise of prophet mohammad ) be go on .,the naat be be recite continuously in a deep voice .,0.875,7,4-1 2-9 17-10,,,,,,,
artb_500-5-42,artb_500,5,HITInput,He added : `` We have no likelyhood of being targeted by terrorism . '',"Despite that , there is not the slightest chance for terrorism .",he add : `` we have no likelyhood of be target by terrorism . '',"despite that , there be not the slight chance for terrorism .",0.875,3,12-10 13-11,,,,,,,
groups.google.com_goodarticles_f1009483f7a289df_CMN_20060208_091400-19-5,groups.google.com_goodarticles_f1009483f7a289df_CMN_20060208_091400,19,HITInput,But other analysts strongly disagree .,"However , there are also analysts who do n't think so .",but other analyst strongly disagree .,"however , there be also analyst who do n't think so .",0.875,6,5-11 2-5,,,,,,,
artb_S01-6-43,artb_S01,6,HITInput,She has a swelling because of a kidney disease .,The swelling is caused by a renal infection .,she have a swell because of a kidney disease .,the swelling be cause by a renal infection .,0.875,1,9-8 8-7 3-1 6-5 7-6,,,,,,,
chtb_324-10-5,chtb_324,10,HITInput,`` They train mostly indoors back in China .,They do much more training indoor at home .,`` they train mostly indoors back in china .,they do much more training indoor at home .,0.875,0,5-7 8-8 4-5 2-4,,,,,,,
groups.google.com_greenpartycn_6053475d4e68ca65_CMN_20060217_101400-18-3,groups.google.com_greenpartycn_6053475d4e68ca65_CMN_20060217_101400,18,HITInput,Qin Shihuang was an open tyranny and the Confucian Sage privately washed brains .,"While Qin Shi Huang persecuted openly , Confucius brainwashed under the table .",qin shihuang be an open tyranny and the confucian sage privately wash brain .,"while qin shi huang persecute openly , confucius brainwash under the table .",0.875,1,4-5 8-7 13-12 0-1,,,,,,,
urd-NG-102-174502-11516120-post214-5-0,urd-NG-102-174502-11516120-post214,5,HITInput,Hit on the head with full force and then do n't even let weep over it . Inflicting all-around abuse and wo n't let you complain either .,They beat us and we are n't even allowed to cry .,hit on the head with full force and then do n't even let weep over it . inflict all-around abuse and wo n't let you complain either .,they beat u and we be n't even allow to cry .,0.875,16,9-5 27-11 7-3 11-7 12-8 13-10 10-6 0-1,,,,,,,
cmn-NG-4-76721-7410847-13-4,cmn-NG-4-76721-7410847,13,HITInput,`` How can I make myself so happy again ? '',"What will be able to make me experience , once again , the happiness of yore ?",`` how can i make myself so happy again ? '',"what will be able to make me experience , once again , the happiness of yore ?",0.875,6,7-13 4-5,,,,,,,
DEW_URD_20090106.0006-14-2,DEW_URD_20090106.0006,14,HITInput,"However , both Foreign Ministers are making different statements about the war in the Middle East .",It is a particularly delicate situation because Kouchner and Schwarzenberg take very different public stances on the Mideast conflict .,"however , both foreign minister be make different statement about the war in the middle east .",it be a particularly delicate situation because kouchner and schwarzenberg take very different public stance on the mideast conflict .,0.875,3,6-10 10-16 11-18 7-12 15-17 16-19,,,,,,,
urd-WL-80-174265-7496746-26-5,urd-WL-80-174265-7496746,26,HITInput,Do we have to learn from the Prophet alone about how to handle such things ?,Does the way of the Holy Prophet not teach us the same lessons .,do we have to learn from the prophet alone about how to handle such thing ?,do the way of the holy prophet not teach u the same lesson .,0.875,2,4-8 6-4 7-6,,,,,,,
groups.google.com_kholoudalrouh_c53489b6b668d438_ARB_20060217_083000-127-4,groups.google.com_kholoudalrouh_c53489b6b668d438_ARB_20060217_083000,127,HITInput,.. Only twice on her knees .. to intercede for her ..,"Just two , that would intervene for her ...",.. only twice on her knee .. to intercede for her ..,"just two , that would intervene for her ...",0.875,3,12-7 11-6 10-5,,,,,,,
VOM19981122_0900_1102-5-8,VOM19981122_0900_1102,5,HITInput,"So far , their whereabouts are unknown .",At the present time nobody know where they are .,"so far , their whereabouts be unknown .",at the present time nobody know where they be .,0.875,2,7-9,,,,,,,
artb_500-5-29,artb_500,5,HITInput,In spite of this we do not have the slightest chance of terrorism occurring .,"There 's very little possibility of terrorism happening here , nonetheless '' .",in spite of this we do not have the slight chance of terrorism occur .,"there 's very little possibility of terrorism happen here , nonetheless '' .",0.875,2,9-3 10-4 11-5 13-7 12-6 14-12,,,,,,,
GMW_CMN_20070712.0030-9-2,GMW_CMN_20070712.0030,9,HITInput,"There are more scenarios of this kind after you go through the gate , which completely ruins even your best mood .","The situation increases once one enters the door . No matter how bright one 's mood is , it will still be spoiled and one will feel insipid .","there be more scenario of this kind after you go through the gate , which completely ruin even your best mood .","the situation increase once one enter the door . no matter how bright one 's mood be , it will still be spoil and one will feel insipid .",0.875,7,9-5 17-20 7-3 16-22 3-1 19-12 11-6 20-15 12-7 21-28,,,,,,,
cmn-WL-8-89514-7839502-13-4,cmn-WL-8-89514-7839502,13,HITInput,These people are people with true temperament in general . Their likes and dislikes are real .,"Generally , they are honest and straightforward . If they like a person , they say so outright . If they dislike one , they also admit it .",these people be people with true temperament in general . their like and dislike be real .,"generally , they be honest and straightforward . if they like a person , they say so outright . if they dislike one , they also admit it .",0.8275862068965517,12,16-28 11-10 13-21 10-9 1-12 8-0,,,,,,,
cmn-WL-8-89514-7839502-13-0,cmn-WL-8-89514-7839502,13,HITInput,"These people are usually straightforward people . If they like someone , they like someone , if they do n't like someone , they do n't like them .",These people are people with true temperament in general . Their likes and dislikes are real .,"these people be usually straightforward people . if they like someone , they like someone , if they do n't like someone , they do n't like them .",these people be people with true temperament in general . their like and dislike be real .,0.782608695652174,12,2-2 0-0 5-3 1-1 8-10 9-11 28-16,,,,,,,
ZBN19981216_0054-12-34,ZBN19981216_0054,12,HITInput,One officer of South Korea National Security Bureau said that Kim Fuki and Park Dong Il were currently being detained by the authorities to gather more details .,One Korean Security Official said that Kim Fuji and Pu Dong were taken for questioning .,one officer of south korea national security bureau say that kim fuki and park dong il be currently be detain by the authority to gather more detail .,one korean security official say that kim fuji and pu dong be take for question .,0.7352941176470589,12,27-15 9-5 4-1 1-3 16-11 14-10 8-4 0-0 6-2 10-6,,,,,,,
XIN20030223_ARB_0134-5-4,XIN20030223_ARB_0134,5,HITInput,"It should be noted that the exchanges between the two sides , which have focused on group visits and academic research , have increased .",The increasing number of exchanges focused on group visits and academic research .,"it should be note that the exchange between the two side , which have focus on group visit and academic research , have increase .",the increase number of exchange focus on group visit and academic research .,0.5416666666666667,12,24-12 19-10 15-6 20-11 23-1 16-7 18-9 14-5 6-4 17-8,,,,,,,
ZBN19981119_0059-4-9,ZBN19981119_0059,4,HITInput,"In 1975 , Indonesia invaded East Timor , the former colony of Portugal , and annexed East Timor into Indonesia 's territory a few weeks later .",Indonesia invaded the Portuguese colony in 1975 and annexed East Timor after several weeks .,"in 1975 , indonesia invade east timor , the former colony of portugal , and annex east timor into indonesia 's territory a few week later .",indonesia invade the portuguese colony in 1975 and annex east timor after several week .,0.52,12,15-8 14-7 24-13 4-1 3-0 26-14 8-2 1-6 17-10 16-9 10-4 12-3 0-5,,,,,,,
urd-WL-80-174265-7519426-4-3,urd-WL-80-174265-7519426,4,HITInput,"Same doubt was about Ardaan Ali Reda , a member of Urdu Mehfil .","I had the same view in my head when I found out the name of Arzan Ali Raza , another member of the Urdu meeting .","same doubt be about ardaan ali reda , a member of urdu mehfil .","i have the same view in my head when i find out the name of arzan ali raza , another member of the urdu meeting .",0.7586206896551724,12,5-16 6-17 10-21 11-23 9-20 7-18 13-25,,,,,,,
XIN20020328.0091-8-2,XIN20020328.0091,8,HITInput,"Wu Dawei , Chinese ambassador to Japan , attended the signing ceremony for the currency exchange agreement between People 's Bank of China and Bank of Japan .",Chinese ambassador to Japan Wu Dawei was present at the signing ceremony of this agreement .,"wu dawei , chinese ambassador to japan , attend the signing ceremony for the currency exchange agreement between people 's bank of china and bank of japan .",chinese ambassador to japan wu dawei be present at the sign ceremony of this agreement .,0.6071428571428572,12,0-4 4-1 10-10 11-11 27-15 9-9 5-2 1-5 3-0 16-14 8-7 6-3,,,,,,,
chtb_232-10-39,chtb_232,10,HITInput,The discoveries also provide new clues for seeking more dinosaur fossils .,Finding the fossils of dinosaur skeletons also provided an important clue in the areas of region and the burying principle for finding dinosaurs .,the discovery also provide new clue for seek more dinosaur fossil .,find the fossil of dinosaur skeleton also provide an important clue in the area of region and the burying principle for find dinosaur .,0.6521739130434783,12,5-10 2-6 9-4 3-7 7-0 1-21 11-23 10-2,,,,,,,
ZBN19981216_0054-12-41,ZBN19981216_0054,12,HITInput,An official of the National Security Planning Bureau said that Jin Fuji and Piao Dongyi now were still detained by the authorities to be asked some questions .,One Korean Security Official said that Kim Fuji and Pu Dong were taken for questioning .,an official of the national security planning bureau say that jin fuji and piao dongyi now be still detain by the authority to be ask some question .,one korean security official say that kim fuji and pu dong be take for question .,0.7272727272727273,12,27-15 9-5 5-2 1-3 11-7 26-14 12-8 8-4 10-6,,,,,,,
urd-WL-12-174261-7433644-4-5,urd-WL-12-174261-7433644,4,HITInput,There are also many works in the public interest that need no funding .,There are also a lot of activities that can be done for the general good that do not require money to be spent on them .,there be also many work in the public interest that need no funding .,there be also a lot of activity that can be do for the general good that do not require money to be spend on them .,0.8,12,2-2 6-12 0-0 4-6 1-1 10-18 3-4 7-13 12-19 13-25 9-15,,,,,,,
ZBN19981213_0043-7-44,ZBN19981213_0043,7,HITInput,Pfizer are considering whether to do any advertisement where Viagra is directly mentioned .,"Pfizer Company is thinking over whether any other advertisements in which the product 's name , Viagra , is mentioned directly , will be needed .",pfizer be consider whether to do any advertisement where viagra be directly mention .,"pfizer company be think over whether any other advertisement in which the product 's name , viagra , be mention directly , will be need .",0.6538461538461539,12,2-3 7-8 0-0 5-18 3-5 1-2 11-20 12-19 13-25 6-6 9-16,,,,,,,
chtb_232-10-40,chtb_232,10,HITInput,The discoveries also provide new clues for seeking more dinosaur fossils .,The discovery of dinosaur skeleton fossils also provides an important clue for further search of dinisaur fossils according to region and hiding laws .,the discovery also provide new clue for seek more dinosaur fossil .,the discovery of dinosaur skeleton fossil also provide an important clue for further search of dinisaur fossil accord to region and hiding law .,0.64,12,5-10 9-3 2-6 6-11 1-1 7-13 11-23 3-7 0-0 10-5,,,,,,,
chtb_232-10-26,chtb_232,10,HITInput,And the finding of dinosaur bone fossils will provide important clues for searching the geographical location and burying rules of the dinosaur fossils .,The discoveries also provide new clues for seeking more dinosaur fossils .,and the finding of dinosaur bone fossil will provide important clue for search the geographical location and burying rule of the dinosaur fossil .,the discovery also provide new clue for seek more dinosaur fossil .,0.6956521739130435,12,22-10 1-0 23-11 11-6 21-9 12-7 2-1 10-5 8-3,,,,,,,
chtb_232-10-31,chtb_232,10,HITInput,The discovery of these dinosaur fossils also provides an important clue to aid in further fossil excavations and burying order in the region .,The discoveries also provide new clues for seeking more dinosaur fossils .,the discovery of these dinosaur fossil also provide an important clue to aid in further fossil excavation and bury order in the region .,the discovery also provide new clue for seek more dinosaur fossil .,0.6799999999999999,12,7-3 0-0 5-10 1-1 4-9 23-11 6-2 10-5,,,,,,,
XIN20030223_ARB_0134-5-4,XIN20030223_ARB_0134,5,HITInput,"It should be noted that the exchanges between the two sides , which have focused on group visits and academic research , have increased .",The increasing number of exchanges focused on group visits and academic research .,"it should be note that the exchange between the two side , which have focus on group visit and academic research , have increase .",the increase number of exchange focus on group visit and academic research .,0.5416666666666667,12,24-12 19-10 15-6 20-11 23-1 16-7 18-9 14-5 6-4 17-8,,,,,,,
artb_557-2-32,artb_557,2,HITInput,London October 9/XinhuaCouncil of British Muslims denounced today US-led air strikes against Afghanistan .,"London , October 9th /Chinkhwa/ The Muslim Council of Britain announced today their opposition to the air strikes led by the United States against Afghanistan .",london october 9/xinhuacouncil of british muslim denounce today us-led air strike against afghanistan .,"london , october 9th /chinkhwa/ the muslim council of britain announce today their opposition to the air strike lead by the united state against afghanistan .",0.6428571428571428,12,1-2 0-0 11-25 10-19 7-13 13-27 5-8 4-11 9-18 3-10 12-26,,,,,,,
VOA_URD_20070725.0007-11-4,VOA_URD_20070725.0007,11,HITInput,"Hence , such parents should get their children treated against such symptoms as soon as possible so that they can be saved from allergy in future .",These parents should treat their children early to prevent its impact in the future .,"hence , such parent should get their child treat against such symptom as soon a possible so that they can be save from allergy in future .",these parent should treat their child early to prevent it impact in the future .,0.7575757575757576,12,25-13 4-2 24-11 2-0 7-5 26-14 3-1 13-6 6-4 8-3,,,,,,,
artb_547-8-39,artb_547,8,HITInput,Israeli fources withdrew from southern Lebanon after a 22-year occupation .,It is worth pointing out that the Israeli forces withdrew from south Lebanon after an occupation that had lasted for 22 years .,israeli fources withdraw from southern lebanon after a 22-year occupation .,it be worth point out that the israeli force withdraw from south lebanon after an occupation that have last for 22 year .,0.7307692307692308,12,8-21 8-20 4-11 2-9 6-13 10-22 0-7 7-14 3-10 9-15 5-12,,,,,,,
