pairID,instructions,image,hitType,source,target,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
training-20,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Peoples Party has refused to either accept or decline !,The People 's Party is rejecting both the rejection and the contribution .,,,,,,,,
training-21,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,How effective will this kind of corruption fighting be ?,What results can we expect from an anti-corruption campaign like this ?,,,,,,,,
training-22,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Even enemies are treated this way by the cruelest people .,Only extremely cruel mete out such treatment to their enemies .,,,,,,,,
training-23,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Most forecasts anticipate a further slow down in the economy in the next few months .,It was also widely speculated that economic increases would continue to shrink over the following several months .,,,,,,,,
training-24,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Syria believed that was only an act for the news .,Syria brushed this off as mere media coverage seeking attention .,,,,,,,,
training-25,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,They wo n't use such drugs again .,"In the future , they need to stop taking medicine of this nature .",,,,,,,,
training-26,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,That freedom may be as short lived as 24-48 hours .,"Whether , this independence continues for 24 or 48 hours .",,,,,,,,
training-27,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"Furthermore , how effective will such anti-corruption work be ?",What results can we expect from an anti-corruption campaign like this ?,,,,,,,,
training-28,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,The U.S. Olympic Committee is dysfunctional because of fierce internal feuds earlier .,The dysfunctioning USOC has shown serious inner squabbling .,,,,,,,,
training-29,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Help has been offered from others as well .,People from all walks of life also lend a hand to him .,,,,,,,,
training-30,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"However , Nasdaq 's advancer/decliner ratio is 6-5 .",But the American Auto Pricing stocks up and down rate is 6:5 .,,,,,,,,
training-31,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,A lucky person breathed his last while prostrating in the Prophet 's Mosque .,"A fortunate man passed away in the state of Sajdah in The Mosque of Prophet , peace be upon him , in Holy City of Medina .",,,,,,,,
training-32,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Started from book 26 yesterday .,"Yesterday , I got a small chance to recite the Holy Quran and began from the 25th part .",,,,,,,,
training-33,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"The proposed and the non-proposed , so we both arrive , with what we represent , we will arrive at a name that is acceptable by both parties .",Proposed and not proposed until we both find a name acceptable to both sides .,,,,,,,,
training-34,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"Inside the courtyard of the television station , a reception team of 25 people was formed to attend to those who came to make donations in person .",The TV station also establish a reception group of 25 to receive donors .,,,,,,,,
training-35,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,China never threatened or threatens or will threaten any countries .,"China has never become a threat to any country in the past or present , and will not become a threat in the future .",,,,,,,,
training-36,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,London October 9/XinhuaCouncil of British Muslims denounced today US-led air strikes against Afghanistan .,"London , October 9 ( Xinhua ) - The Muslim Council of Britain declared its opposition to the air strikes carried out today by the US against Afghanistan .",,,,,,,,
training-37,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"From the menu , select Options then recorder then Source then Line-in .","From the top menu , select in sequence : Options , then Recorder , then Source , then Line-in , as shown in the following picture .",,,,,,,,
training-38,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Indonesia invaded the Portuguese colony in 1975 and annexed East Timor after several weeks .,"Indonesia intruded into East Timor , a colony of Portugal , in 1975 , and a few weeks later East Timor was merged into the territory of Indonesia .",,,,,,,,
training-39,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"On the other hand , Hammad clarified that the tax on casino tickets , where betting is done , has not been reduced .",Hammad said gambling casino tickets would not be discounted .,,,,,,,,
training-40,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Pfizer is considering running commercials that directly mention the name Viagra .,"Pfizer Company is thinking over whether any other advertisements in which the product 's name , Viagra , is mentioned directly , will be needed .",,,,,,,,
training-41,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,The discoveries also provide new clues for seeking more dinosaur fossils .,The discovery of the dinosaur fossils also provides important hints for where researchers should look for additional fossils and how these bones fossils were buried .,,,,,,,,
training-42,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,The discovery of dinosaur skeleton fossils has offered important clues in terms of fossil regional distribution and burying patterns of fossils to further seek seeking dinosaur fossils .,The discoveries also provide new clues for seeking more dinosaur fossils .,,,,,,,,
training-43,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"In his opinion , the documents signed by the two parties are of great importance to strengthening the good neighborly relations and friendly cooperation between the two countries .",He thought the documents just signed are important for good-neighborliness and friendly cooperation .,,,,,,,,
training-44,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"So the Prophet , God 's prayer and peace be upon Him , said to him : `` More than your son , Omar ? ''","The Prophet replied : More than your son , Omar ?",,,,,,,,
training-45,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"And here , we fools consider them our Muslim rulers when we see this .","On the other hand , we , the foolish , never grow tired of saying they are Muslim rulers because they have themselves shown while they are praying .",,,,,,,,
training-46,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Syria has beaten Iran with a score of 110:92 and the Iran team ended in the third place in basketball .,Syria defeated Iran by 110:92 .,,,,,,,,
training-47,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"To me , the scene of circles appearing before my eyes no longer has any other function except for inducing the effect of dizziness caused by radiation .",The eye-full of circles makes you nothing else but dizzy .,,,,,,,,
training-48,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"Some related department passed on a message to Wang Peirong and her family members through another person , and asked them to pay attention to their security .",Relevant departments told Wang Peirong and her family to be careful of safety .,,,,,,,,
training-49,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Who knows how Mr. Chaudhry will comment on this meeting and support it .,"I 'm not familiar with Chaudhry 's views on this matter , nor do I know whether he will make a statement in favor of this meeting .",,,,,,,,
training-50,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,They neither believe in the doomsday nor in accountability .,"They do n't believe that Judgment Day will come , nor do they believe they will be asked for an accounting of their lives .",,,,,,,,
