pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
ZBN19981119_0059-4-21,ZBN19981119_0059,4,HITInput,Indonesia invaded the Portuguese colony in 1975 and annexed East Timor after several weeks .,"Indonesia intruded into East Timor , a colony of Portugal , in 1975 , and a few weeks later East Timor was merged into the territory of Indonesia .",indonesia invade the portuguese colony in 1975 and annex east timor after several week .,"indonesia intrude into east timor , a colony of portugal , in 1975 , and a few week later east timor be merge into the territory of indonesia .",0.6153846153846154,14,5-11 6-12 0-0 3-9 4-7 9-3 13-17 14-28 10-4,,,,,,,
urd-WL-72-174253-7562183-18-5,urd-WL-72-174253-7562183,18,HITInput,"And here , we fools consider them our Muslim rulers when we see this .","On the other hand , we , the foolish , never grow tired of saying they are Muslim rulers because they have themselves shown while they are praying .","and here , we fool consider them our muslim ruler when we see this .","on the other hand , we , the foolish , never grow tire of say they be muslim ruler because they have themselves show while they be pray .",0.84375,14,6-15 2-4 4-8 8-17 3-5 14-28 9-18,,,,,,,
urd-WL-72-174253-7626563-18-2,urd-WL-72-174253-7626563,18,HITInput,Who knows how Mr. Chaudhry will comment on this meeting and support it .,"I 'm not familiar with Chaudhry 's views on this matter , nor do I know whether he will make a statement in favor of this meeting .",who know how mr. chaudhry will comment on this meeting and support it .,"i 'm not familiar with chaudhry 's view on this matter , nor do i know whether he will make a statement in favor of this meeting .",0.7878787878787878,14,7-8 4-5 13-27 11-23 1-15 9-26 8-9 6-7,,,,,,,
LBC_NEWS_ARB_20060210_195800_675_944.qrtr-7-3,LBC_NEWS_ARB_20060210_195800_675_944.qrtr,7,HITInput,"The proposed and the non-proposed , so we both arrive , with what we represent , we will arrive at a name that is acceptable by both parties .",Proposed and not proposed until we both find a name acceptable to both sides .,"the propose and the non-proposed , so we both arrive , with what we represent , we will arrive at a name that be acceptable by both party .",propose and not propose until we both find a name acceptable to both side .,0.7037037037037037,14,20-8 2-1 24-10 9-7 27-13 1-0 7-5 21-9 8-6 28-14 26-12,,,,,,,
artb_036-6-35,artb_036,6,HITInput,"On the other hand , Hammad clarified that the tax on casino tickets , where betting is done , has not been reduced .",Hammad said gambling casino tickets would not be discounted .,"on the other hand , hammad clarify that the tax on casino ticket , where betting be do , have not be reduce .",hammad say gambling casino ticket would not be discount .,0.7391304347826086,14,23-9 5-0 22-8 15-2 20-6 11-3 12-4 21-7 6-1,,,,,,,
groups.google.com_ritaj_3d2ba2725d890f0b_ARB_20060213_102000-26-2,groups.google.com_ritaj_3d2ba2725d890f0b_ARB_20060213_102000,26,HITInput,"From the menu , select Options then recorder then Source then Line-in .","From the top menu , select in sequence : Options , then Recorder , then Source , then Line-in , as shown in the following picture .","from the menu , select option then recorder then source then line-in .","from the top menu , select in sequence : option , then recorder , then source , then line-in , a show in the following picture .",0.42105263157894735,14,2-3 0-0 4-5 6-11 1-1 8-14 3-4 5-9 7-12 11-18 9-15 12-26 10-17,,,,,,,
XIN_CMN_20060209.0078-20-4,XIN_CMN_20060209.0078,20,HITInput,China never threatened or threatens or will threaten any countries .,"China has never become a threat to any country in the past or present , and will not become a threat in the future .",china never threaten or threaten or will threaten any country .,"china have never become a threat to any country in the past or present , and will not become a threat in the future .",0.6666666666666667,14,1-2 0-0 2-5 9-8 10-24 4-20 8-7,,,,,,,
groups.google.com_greenpartycn_d6c87f9f9950da31_CMN_20060214_106700-21-4,groups.google.com_greenpartycn_d6c87f9f9950da31_CMN_20060214_106700,21,HITInput,"Some related department passed on a message to Wang Peirong and her family members through another person , and asked them to pay attention to their security .",Relevant departments told Wang Peirong and her family to be careful of safety .,"some related department pass on a message to wang peirong and her family member through another person , and ask them to pay attention to their security .",relevant department tell wang peirong and her family to be careful of safety .,0.7419354838709677,14,2-1 9-4 27-13 1-0 23-10 11-6 26-12 12-7 10-5 8-3,,,,,,,
DEW_URD_20090119.0007-8-4,DEW_URD_20090119.0007,8,HITInput,"The number of German soldiers in the NATO coalition army , deployed at this time in Afghanistan , is around three-thousand , five-hundred .","Germany has 3,000 troops with NATO forces in Afghanistan .","the number of german soldier in the nato coalition army , deploy at this time in afghanistan , be around three-thousand , five-hundred .","germany have 3,000 troop with nato force in afghanistan .",0.8461538461538461,14,4-3 9-6 7-5 3-0 15-7 16-8 23-9,,,,,,,
DEW_URD_20090119.0007-8-4,DEW_URD_20090119.0007,8,HITInput,"The number of German soldiers in the NATO coalition army , deployed at this time in Afghanistan , is around three-thousand , five-hundred .","Germany has 3,000 troops with NATO forces in Afghanistan .","the number of german soldier in the nato coalition army , deploy at this time in afghanistan , be around three-thousand , five-hundred .","germany have 3,000 troop with nato force in afghanistan .",0.8461538461538461,14,4-3 9-6 7-5 3-0 15-7 16-8 23-9,,,,,,,
ZBN19981213_0043-7-16,ZBN19981213_0043,7,HITInput,Pfizer is considering running commercials that directly mention the name Viagra .,"Pfizer Company is thinking over whether any other advertisements in which the product 's name , Viagra , is mentioned directly , will be needed .",pfizer be consider run commercial that directly mention the name viagra .,"pfizer company be think over whether any other advertisement in which the product 's name , viagra , be mention directly , will be need .",0.6923076923076923,14,2-3 10-16 7-19 4-8 11-25 1-2 6-20 0-0 9-14,,,,,,,
urd-NG-102-174502-11516146-post144-6-2,urd-NG-102-174502-11516146-post144,6,HITInput,"This is to justify their rule ; that is , if they do not rule then such barbarians and beasts will rule .",And in order to justify remaining in power .,"this be to justify their rule ; that be , if they do not rule then such barbarian and beast will rule .",and in order to justify remain in power .,0.8333333333333334,14,2-3 3-4 22-8,,,,,,,
urd-NG-102-174502-11516146-post144-6-2,urd-NG-102-174502-11516146-post144,6,HITInput,"This is to justify their rule ; that is , if they do not rule then such barbarians and beasts will rule .",And in order to justify remaining in power .,"this be to justify their rule ; that be , if they do not rule then such barbarian and beast will rule .",and in order to justify remain in power .,0.8333333333333334,14,2-3 3-4 22-8,,,,,,,
XIN20020412.0061-4-1,XIN20020412.0061,4,HITInput,"Inside the courtyard of the television station , a reception team of 25 people was formed to attend to those who came to make donations in person .",The TV station also establish a reception group of 25 to receive donors .,"inside the courtyard of the television station , a reception team of 25 people be form to attend to those who come to make donation in person .",the tv station also establish a reception group of 25 to receive donor .,0.7333333333333334,14,4-0 5-1 9-6 27-13 15-4 24-12 12-9 8-5 6-2 11-8 10-7,,,,,,,
cmn-WL-8-89514-7839502-13-5,cmn-WL-8-89514-7839502,13,HITInput,"These people are usually genuine in nature , like means like , dislike means dislike .","Generally , they are honest and straightforward . If they like a person , they say so outright . If they dislike one , they also admit it .","these people be usually genuine in nature , like mean like , dislike mean dislike .","generally , they be honest and straightforward . if they like a person , they say so outright . if they dislike one , they also admit it .",0.8148148148148149,13,2-3 4-4 8-10 3-0 15-28 1-12 9-15 12-21,,,,,,,
cmn-WL-8-89514-7839502-13-1,cmn-WL-8-89514-7839502,13,HITInput,"These people are usually straightforward people . If they like someone , they like someone , if they do n't like someone , they do n't like them .","These people are usually genuine in nature , like means like , dislike means dislike .","these people be usually straightforward people . if they like someone , they like someone , if they do n't like someone , they do n't like them .","these people be usually genuine in nature , like mean like , dislike mean dislike .",0.631578947368421,13,2-2 0-0 1-1 9-8 3-3 13-10 28-15,,,,,,,
urd-WL-78-174262-7455135-4-2,urd-WL-78-174262-7455135,4,HITInput,"Madina Munawara , A lucky man prostrating in Prophet 's mosque passed away .","A fortunate man passed away in the state of Sajdah in The Mosque of Prophet , peace be upon him , in Holy City of Medina .","madina munawara , a lucky man prostrate in prophet 's mosque pass away .","a fortunate man pass away in the state of sajdah in the mosque of prophet , peace be upon him , in holy city of medina .",0.6538461538461539,13,10-12 4-1 5-2 8-14 13-26 3-0 11-3 12-4 7-10 0-25,,,,,,,
urd-WL-78-174262-7455135-4-4,urd-WL-78-174262-7455135,4,HITInput,A lucky person breathed his last while prostrating in the Prophet 's Mosque .,"A fortunate man passed away in the state of Sajdah in The Mosque of Prophet , peace be upon him , in Holy City of Medina .",a lucky person breathe his last while prostrate in the prophet 's mosque .,"a fortunate man pass away in the state of sajdah in the mosque of prophet , peace be upon him , in holy city of medina .",0.7931034482758621,13,2-2 0-0 12-12 10-14 9-6 1-1 13-26 8-5,,,,,,,
XIN20020412.0061-4-5,XIN20020412.0061,4,HITInput,The TV station also establish a reception group of 25 to receive donors .,"In the yard of the TV station , a reception group made up by 25 people was in charge of receive people coming to make endowments .",the tv station also establish a reception group of 25 to receive donor .,"in the yard of the tv station , a reception group make up by 25 people be in charge of receive people come to make endowment .",0.56,13,0-4 2-6 13-26 11-20 1-5 5-8 7-10 4-11 6-9 9-14,,,,,,,
XIN20020410.0043-5-3,XIN20020410.0043,5,HITInput,Syria has beaten Iran with a score of 110:92 and the Iran team ended in the third place in basketball .,Syria finished third after beating Iran 110-92 .,syria have beat iran with a score of 110:92 and the iran team end in the third place in basketball .,syria finish third after beat iran 110-92 .,0.7619047619047619,13,0-0 2-4 3-5 20-7 16-2 13-1,,,,,,,
urd-WL-12-174261-7433644-4-2,urd-WL-12-174261-7433644,4,HITInput,There are many such welfare works that do not need any expenditure .,There are also a lot of activities that can be done for the general good that do not require money to be spent on them .,there be many such welfare work that do not need any expenditure .,there be also a lot of activity that can be do for the general good that do not require money to be spend on them .,0.7931034482758621,13,5-6 0-0 6-15 2-4 1-1 7-16 11-22 9-18 8-17 12-25,,,,,,,
chtb_232-10-5,chtb_232,10,HITInput,The finding of dinosaur bone fossils provided an important clue for our further study of the distribution of dinosaur fossils and their burying rules .,The discoveries also provide new clues for seeking more dinosaur fossils .,the finding of dinosaur bone fossils provide an important clue for our further study of the distribution of dinosaur fossil and their burying rule .,the discovery also provide new clue for seek more dinosaur fossil .,0.7307692307692308,13,9-5 1-1 19-10 18-9 0-0 24-11 6-3 10-6,,,,,,,
VOM19981009_1000_1767-4-38,VOM19981009_1000_1767,4,HITInput,"Sharon firmly advocates the building of Jewish settlements on the West Bank of the Jordan River , and opposes making any concessions on the issue of military withdrawal .",Sharon firmly advocates building up Jewish residential areas on the west bank of Jordan River .,"sharon firmly advocate the building of jewish settlement on the west bank of the jordan river , and oppose make any concession on the issue of military withdrawal .",sharon firmly advocate build up jewish residential area on the west bank of jordan river .,0.5555555555555556,13,2-2 10-10 4-3 11-11 12-12 9-9 1-1 24-7 8-8 15-14 0-0 6-5 28-15 14-13,,,,,,,
urd-WL-11-174274-7483801-12-2,urd-WL-11-174274-7483801,12,HITInput,"Initially I used to think , and even that in the form of a query if there was truth or not in the world .",I always wondered if there was any truth in this world .,"initially i use to think , and even that in the form of a query if there be truth or not in the world .",i always wonder if there be any truth in this world .,0.7037037037037037,13,24-11 15-3 23-10 17-5 21-8 16-4 18-7,,,,,,,
ZBN20040219.001-9-1,ZBN20040219.001,9,HITInput,"Similarly , China is also situated in a very special period of time when it is experiencing a high economic growth and a major transition in the society .",China is likewise at an unusual stage of fast economic growth and big social transition .,"similarly , china be also situate in a very special period of time when it be experience a high economic growth and a major transition in the society .",china be likewise at an unusual stage of fast economic growth and big social transition .,0.7575757575757576,13,24-14 2-0 19-9 0-2 27-13 11-7 3-1 7-4 20-10 23-12 28-15 10-6 21-11,,,,,,,
VOM19981009_1000_1767-4-23,VOM19981009_1000_1767,4,HITInput,Sharon strongly advocates the construction of Jewish settlement in the West Bank of Jordan River . He is also against a compromise on the issue of troop withdrawal .,Sharon firmly advocates building up Jewish residential areas on the west bank of Jordan River .,sharon strongly advocate the construction of jewish settlement in the west bank of jordan river . he be also against a compromise on the issue of troop withdrawal .,sharon firmly advocate build up jewish residential area on the west bank of jordan river .,0.6206896551724138,13,2-2 10-10 4-3 11-11 12-12 9-9 1-1 24-7 13-13 0-0 14-14 6-5 28-15 22-8,,,,,,,
ZBN19981011_0106-6-35,ZBN19981011_0106,6,HITInput,"The National Front Youth League indicates that these activities are meant to express the support , love , and esteem of the Youth League to the state leader .",The NFYL said that these activities conveyed their support and love for the state leaders .,"the national front youth league indicate that these activity be mean to express the support , love , and esteem of the youth league to the state leader .",the nfyl say that these activity convey their support and love for the state leader .,0.6296296296296297,13,25-12 27-14 5-2 7-4 16-10 26-13 18-9 12-6 8-5 14-8 28-15 6-3,,,,,,,
ZBN19981213_0043-7-8,ZBN19981213_0043,7,HITInput,Pfizer is considering whether it will run any advertisement directly mentioning Viagra .,"Pfizer Company is thinking over whether any other advertisements in which the product 's name , Viagra , is mentioned directly , will be needed .",pfizer be consider whether it will run any advertisement directly mention viagra .,"pfizer company be think over whether any other advertisement in which the product 's name , viagra , be mention directly , will be need .",0.6,13,2-3 1-2 0-0 3-5 10-19 7-6 11-16 9-20 12-25 8-8,,,,,,,
urd-WL-80-174265-7496743-11-1,urd-WL-80-174265-7496743,11,HITInput,Started from book 26 yesterday .,"Yesterday , I got a small chance to recite the Holy Quran and began from the 25th part .",start from book 26 yesterday .,"yesterday , i get a small chance to recite the holy quran and begin from the 25th part .",0.8571428571428572,13,4-0 5-18 0-13 1-14,,,,,,,
chtb_150-4-41,chtb_150,4,HITInput,Guangxi imported large amount of foreign funds for resolving capital insufficiency and deepening open up .,"In order to solve the problem of capital shortages , and increase the level of opening up policies to outside sources , Guangxi has vigorously introduced foreign funds .",guangxi import large amount of foreign fund for resolve capital insufficiency and deepen open up .,"in order to solve the problem of capital shortage , and increase the level of open up policy to outside source , guangxi have vigorously introduce foreign fund .",0.71875,13,10-8 9-7 6-27 3-13 15-28 13-15 4-14 14-16 0-22 5-26 8-3,,,,,,,
LBC_NEWS_ARB_20060210_195800_675_944.qrtr-7-1,LBC_NEWS_ARB_20060210_195800_675_944.qrtr,7,HITInput,"Put forward and not put forward , so we reach , we 'll contact everyone we represent to find a name that 's acceptable to both sides .",Proposed and not proposed until we both find a name acceptable to both sides .,"put forward and not put forward , so we reach , we 'll contact everyone we represent to find a name that 's acceptable to both side .",propose and not propose until we both find a name acceptable to both side .,0.5416666666666667,13,27-14 25-12 2-1 24-11 19-8 3-2 23-10 20-9 26-13 18-7,,,,,,,
groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300-9-4,groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300,9,HITInput,"Abu Bakr says : So the Prophet , God 's prayer and peace be upon Him , drank until my thirst was quenched ! !",Abu Bakr says : The Prophet drank until I was satiated .,"abu bakr say : so the prophet , god 's prayer and peace be upon him , drank until my thirst be quench ! !",abu bakr say : the prophet drank until i be satiate .,0.64,13,2-2 5-4 0-0 1-1 3-3 17-6 21-9 18-7 24-11 6-5,,,,,,,
groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300-51-4,groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300,51,HITInput,"So the Prophet , God 's prayer and peace be upon Him , said to him : `` And this makes you cry ? ''",The Prophet asked him : Is this what makes you cry ?,"so the prophet , god 's prayer and peace be upon him , say to him : `` and this make you cry ? ''",the prophet ask him : be this what make you cry ?,0.5833333333333333,13,20-8 22-10 1-0 15-3 23-11 2-1 21-9 16-4,,,,,,,
artb_557-2-24,artb_557,2,HITInput,London 9 October / Shenkhu / The British Council of Muslims declared its opposition to the air strikes led by the United States against Afghanistan today .,London October 9/XinhuaCouncil of British Muslims denounced today US-led air strikes against Afghanistan .,london 9 october / shenkhu / the british council of muslim declare it opposition to the air strike lead by the united state against afghanistan today .,london october 9/xinhuacouncil of british muslim denounce today us-led air strike against afghanistan .,0.5925925925925926,13,9-3 17-10 0-0 24-12 7-4 23-11 2-1 26-13 16-9 10-5 25-7,,,,,,,
chtb_150-4-40,chtb_150,4,HITInput,Guangxi imported large amount of foreign funds for resolving capital insufficiency and deepening open up .,"In order to solve the problem of financial insufficiency , and to open wider to the outside world , Guangxi has made great effort to introduce foreign funds .",guangxi import large amount of foreign fund for resolve capital insufficiency and deepen open up .,"in order to solve the problem of financial insufficiency , and to open wider to the outside world , guangxi have make great effort to introduce foreign fund .",0.75,13,10-8 9-7 6-27 0-19 15-28 13-12 8-3 5-26 2-22,,,,,,,
groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300-38-4,groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300,38,HITInput,"So the Prophet , God 's prayer and peace be upon Him , said : `` Now , Omar , now . ''","The prophet said : Now , Omar , now .","so the prophet , god 's prayer and peace be upon him , say : `` now , omar , now . ''","the prophet say : now , omar , now .",0.5789473684210527,13,20-8 2-1 18-6 1-0 19-7 13-2 17-5 21-9 16-4 14-3,,,,,,,
arb-NG-2-76511-7419693-7-0,arb-NG-2-76511-7419693,7,HITInput,"Its content prohibits the detention of any person in the centers of the Committee , and requires delivering them immediately to the police or other relevant security authorities .",Why does Aramco donate 25 million dollars to build houses for victims of Hurricane Katrina ?,"it content prohibit the detention of any person in the center of the committee , and require deliver them immediately to the police or other relevant security authority .",why do aramco donate 25 million dollar to build house for victim of hurricane katrina ?,0.9487179487179487,13,,,,,,,,
groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300-28-5,groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300,28,HITInput,"The prophet ( God bless Him and grant Him salvation ) said to him , `` More than your son , Umar ? ''","The Prophet replied : More than your son , Omar ?","the prophet ( god bless him and grant him salvation ) say to him , `` more than your son , umar ? ''","the prophet reply : more than your son , omar ?",0.6666666666666667,13,20-8 22-10 0-0 16-4 1-1 19-7 17-5 21-9 18-6,,,,,,,
groups.google.com_greenpartycn_b1314fab782e7592_CMN_20060209_044700-1-1,groups.google.com_greenpartycn_b1314fab782e7592_CMN_20060209_044700,1,HITInput,Cao Xiaoming : Who Foots Bill for Enriching Rural Cultural Activities ?,& lt ; HEADLINE & gt ; Cao Xiaoming -- Rich Cultural Activities in the Countryside : Who Will `` Pay the Bill '' ?,cao xiaoming : who foot bill for enrich rural cultural activity ?,& lt ; headline & gt ; cao xiaoming -- rich cultural activity in the countryside : who will `` pay the bill '' ?,0.6923076923076923,13,10-12 1-8 0-7 11-24 8-15 7-10 2-16 3-17 4-20 5-22 9-11,,,,,,,
groups.google.com_greenpartycn_b07aeae684cbc1b7_CMN_20060209_051800-27-1,groups.google.com_greenpartycn_b07aeae684cbc1b7_CMN_20060209_051800,27,HITInput,Landlords at lower levels had more independent power .,"As titles were subdivided into increasingly lower strata , the lords at each lower stratum possessed an increased amount of autonomy .",landlord at low level have more independent power .,"a title be subdivide into increasingly low stratum , the lord at each low stratum possess an increased amount of autonomy .",0.8846153846153846,13,6-20 8-21 3-18 2-6,,,,,,,
chtb_150-4-13,chtb_150,4,HITInput,"To solve the problem of insufficient funds and expand the scale of opening up to the outside world , Guangxi is devoting great efforts to attracting foreign capital .",Guangxi imported large amount of foreign funds for resolving capital insufficiency and deepening open up .,"to solve the problem of insufficient fund and expand the scale of open up to the outside world , guangxi be devote great effort to attract foreign capital .",guangxi import large amount of foreign fund for resolve capital insufficiency and deepen open up .,0.7096774193548387,13,5-10 12-13 19-0 1-8 13-14 22-2 26-5 6-9 27-6 28-15,,,,,,,
VOM19981125_0900_0288-5-41,VOM19981125_0900_0288,5,HITInput,The newly subscribed Land-for-Peace Agreement paved the way for the Gaza International Airport .,"Israel and Palestine recently signed a agreement by using land to exchange peace , which clean up the pathway for the operation of Gaza International Airport .",the newly subscribe land-for-peace agreement pave the way for the gaza international airport .,"israel and palestine recently sign a agreement by use land to exchange peace , which clean up the pathway for the operation of gaza international airport .",0.7741935483870968,13,6-17 2-4 8-19 11-24 13-26 1-3 7-18 10-23 3-12 9-20 4-6 12-25 3-9,,,,,,,
urd-WL-12-174278-7594553-14-3,urd-WL-12-174278-7594553,14,HITInput,"Initially , you can have urinary problems but after sometime it would become a routine .","In the beginning , for perhaps three days or so , you may feel like urinating three or four times , but later you will return to normal .","initially , you can have urinary problem but after sometime it would become a routine .","in the beginning , for perhaps three day or so , you may feel like urinate three or four time , but later you will return to normal .",0.8888888888888888,13,15-28 14-27 1-10 2-11,,,,,,,
urd-WL-34-174270-7476673-11-5,urd-WL-34-174270-7476673,11,HITInput,The thing that is so wrong with me is that I have a companion that tells a lie about my childhood .,One bad habit which I have is lying .,the thing that be so wrong with me be that i have a companion that tell a lie about my childhood .,one bad habit which i have be lie .,0.7727272727272727,13,11-5 10-4 21-8 17-7 5-1,,,,,,,
ZBN19981111_0041-9-18,ZBN19981111_0041,9,HITInput,This is because U.S. is likely to export less to Asia and hence causes an impact to investment and production volume in the manufacturing sector .,Reduced US exports to Asia affected investments and output of manufacturing industries .,this be because u.s. be likely to export less to asia and hence cause an impact to investment and production volume in the manufacturing sector .,reduce u export to asia affected investment and output of manufacturing industry .,0.75,13,25-12 9-3 24-11 19-8 7-2 15-5 3-1 23-10 17-6 18-7 10-4,,,,,,,
