workerID,completed_HITs,correct_HITs,HIT_correctness_rate,initial_precision,initial_recall,initial_f1,final_precision,final_recall,final_f1
A3857424R8YR3Y,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
A3BBPCRHAJ61PP,3,1,0.3333333333333333,0.8666666666666667,1.0,0.9259259259259259,1.0,1.0,1.0
A36YZCJV91T1EX,4,4,1.0,0.8452380952380952,0.670138888888889,0.7467532467532467,1.0,1.0,1.0
A2929S7JLLYFSW,1,1,1,0.5,1.0,0.6666666666666666,1.0,1.0,1.0
A2TEWO3WJ5YKGG,1,0,0,0.75,1.0,0.8571428571428571,1.0,1.0,1.0
AWX4LIGWKDFF,2,0,0.0,0.5,0.0625,0.1111111111111111,1.0,0.1875,0.3111111111111111
A2FZE7CARM54IG,18,15,0.8333333333333334,0.7428972262305596,0.7856872730061135,0.7442690796857463,0.9695815295815295,0.9652076318742985,0.9667508417508418
AAC5XT7UY7B2K,1,0,0,0.8181818181818182,0.8181818181818182,0.8181818181818182,1.0,0.7272727272727273,0.8421052631578948
A1XTTW41VO1XGQ,2,2,1.0,0.5,0.375,0.42857142857142855,1.0,1.0,1.0
A4H1NYJVE7C53,18,18,1.0,0.8307631874298541,0.7951813685509337,0.7953096968548801,1.0,1.0,1.0
A1PZF5G2I2XK8R,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
A1Y50NM443ITPK,2,2,1.0,0.4,0.2222222222222222,0.2857142857142857,1.0,1.0,1.0
A2COSIJ0PXHLP0,2,2,1.0,0.9,0.5079365079365079,0.641025641025641,1.0,1.0,1.0
A1640H4RXH8NZE,3,3,1.0,0.9393939393939394,0.9393939393939394,0.9393939393939394,1.0,1.0,1.0
A21ZAMU19VL465,1,1,1,0.6923076923076923,0.8181818181818182,0.7500000000000001,1.0,1.0,1.0
AKHO08K69B4Y4,1,1,1,1.0,0.6666666666666666,0.8,1.0,1.0,1.0
A1XWYM32PN3RTY,1,0,0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7333333333333333,1.0,0.846153846153846
A2R819T7EYBI95,2,2,1.0,0.9166666666666667,0.8571428571428572,0.8846153846153846,1.0,1.0,1.0
A37PBOUXGARPML,18,18,1.0,0.9362217412217412,0.846969958383002,0.8749205013093903,1.0,1.0,1.0
A39NM64GEBACDE,2,1,0.5,0.5,0.5,0.5,1.0,0.5833333333333333,0.6428571428571428
A3UH5KXMS7AQS3,1,0,0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
A33SKJTJTE5H3C,9,7,0.7777777777777778,0.9629629629629629,0.832384403036577,0.8821840927104084,0.9629629629629629,0.9265873015873015,0.9426129426129425
