source,target,docID,type,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments1,answerPossAlignments1,answerSourceHighlights1,answerTargetHighlights1
the retailer said it came to the decision after hearing the opinions of customers and associates .,"the decision came after '' listening to our customers and associates '' , Melissa Berryhill , a spokeswoman for Wal-Mart , said .",news-common:2718,test,16-22 13-8 14-9 15-10 6-0 7-1 2-21 4-2 9-5 5-6 8-3 ,{},{},{},0-19 1-19 4-2 6-0 7-1 8-3 9-4 13-8 14-9 15-10 16-22 ,{},{},{}
"'' we will accede to the request while we explore all of our options '' , VeriSign spokesman Tom Galvin told Reuters .","we will accede to the request while we explore all of our options '' , said Russell Lewis , executive vice president of VeriSign 's Naming and Directory Services Group .",news-common:1296,test,22-30 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-23 20-15 ,{},{},{},1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-23 22-30 ,{},{},{}
two Atlanta companies that have not been accused of wrongdoing -- Delta Air Lines Inc. and the Home Depot -- were mentioned as having excessive pay packages for its CEOs .,two Atlanta-based companies that have not been accused of wrongdoing -- Delta Air Lines and Home Depot -- were also mentioned by witnesses as having excessive pay packages for CEOs .,news-common:1411,test,30-30 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 22-23 23-24 24-25 25-26 26-27 27-28 17-15 18-16 19-17 20-18 29-29 21-20 0-0 1-1 15-14 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 15-14 17-15 18-16 19-17 20-18 21-20 22-23 23-24 24-25 25-26 26-27 27-28 29-29 30-30 ,{},{},{}
the US investment bank said : '' we believe the long-term prospects for the energy sector in the UK remain attractive '' .,"'' we believe the long-term prospects for the energy sector in the UK remain attractive '' , Goldman said .",news-common:2006,test,22-19 6-0 7-1 8-2 9-3 10-4 11-5 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13 20-14 21-15 4-18 ,{},{},{},4-18 6-0 7-1 8-2 9-3 10-4 11-5 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13 20-14 22-16 ,{},{},{}
"Tom Kasmer , a 14-year-old from Belmont , N.C. , got a word that sounded like '' zistee '' during yesterday 's competition .","the 14-year-old national spelling finalist who attends school in Belmont , N.C. , got a word that sounded like '' zistee '' during competition Wednesday .",news-common:963,test,23-25 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 22-23 20-24 4-1 ,{},{},{},4-1 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 22-23 23-25 ,3-0 5-5 5-6 5-7 5-8 20-24 ,{},{}
about 10 percent of high school and 16 percent of elementary students must be proficient at math .,"in math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .",news-common:1486,test,17-21 2-13 3-14 4-15 5-16 7-3 8-4 9-5 10-6 11-17 12-18 13-19 14-20 16-1 ,{},{},{},2-13 3-14 4-15 5-16 6-11 7-3 8-4 9-5 10-6 11-10 11-17 12-18 13-19 14-20 15-0 16-1 17-21 ,1-12 ,{},{}
"they said many had been beaten , and police officers also stormed private wards at the hospital and harassed patients .",they said the police officers also entered various private wards at the clinic and attacked patients .,news-common:2988,test,20-16 12-8 13-9 14-10 15-11 8-3 9-4 10-5 0-0 1-1 19-15 16-12 2-7 11-14 7-13 ,{},{},{},0-0 1-1 8-3 9-4 10-5 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 ,11-6 ,{},{}
"the Pentagon , saying that Boykin requested it , is investigating his remarks .",the Pentagon has begun an official investigation into Boykin 's remarks .,news-common:3006,test,13-11 0-0 1-1 12-10 5-8 10-6 ,{},{},{},0-0 1-1 5-8 9-2 9-3 9-6 10-2 10-3 10-6 12-10 13-11 ,11-8 ,{},{}
"the technology-heavy Nasdaq Composite Index gained 25.75 points , or 1.5 percent , to 1,746.46 , its highest close in about 15 months .","the technology-laced Nasdaq Composite index .ixic was down 1.55 points , or 0.09 percent , at 1,744.91 .",news-common:2951,test,23-18 2-2 3-3 4-4 7-10 8-11 9-12 11-14 12-15 ,{},{},{},0-0 1-1 2-2 3-3 4-4 7-9 8-10 9-11 11-13 12-14 13-15 23-17 ,6-8 10-12 14-16 ,{},{}
"writing in the journal Geophysical Research Letters , Vincent 's team said all of the fresh water poured out of the 20 mile -lrb- 30 km -rrb- long Disraeli fjord .","writing in the journal Geophysical Research Letters , Vincent 's team said all of the fresh water poured out of the 20-mile-long Disraeli fjord .",news-C:2651,test,30-24 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 28-22 29-23 21-21 22-21 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-21 27-21 28-22 29-23 30-24 ,{},{},{}
"Greenspan is head of the U.S. central bank , which sets U.S. interest rates .","Greenspan 's Federal Reserve , the U.S. central bank , decides interest rates in the world 's largest economy .",news-C:1251,test,14-19 4-5 5-6 6-7 7-8 8-9 12-11 13-12 0-0 ,{},{},{},0-0 4-5 5-6 6-7 7-8 10-10 12-11 13-12 14-19 ,11-13 11-14 11-15 11-16 11-17 11-18 ,{},{}
the agency said it would not release the name of the 17-year-old involved because he is a minor .,the agency said it had no plans to release the name of the teenager involved because he was a minor .,news-C:2572,test,18-20 6-8 7-9 8-10 9-11 10-12 0-0 1-1 2-2 3-3 12-14 13-15 14-16 16-18 17-19 15-17 ,{},{},{},0-0 1-1 2-2 3-3 4-4 4-5 4-6 4-7 5-4 5-5 5-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 16-18 17-19 18-20 ,15-17 ,{},{}
"this morning , at UM 's New York office , Coen revised his expectations downward , saying that spending would instead rise 4.6 percent to $ 247 billion .","speaking to reporters at a New York news conference , Universal McCann 's Coen projected that total U.S. ad spending will rise 4.6 percent to $ 247.7 billion this year .",news-C:958,test,28-30 21-21 22-22 23-23 24-24 25-25 6-5 7-6 10-13 4-10 4-11 18-19 27-27 16-0 17-15 5-12 ,{},{},{},3-3 6-5 7-6 10-13 16-14 17-15 18-19 19-20 21-21 22-22 23-23 24-24 25-25 27-27 28-30 ,4-10 26-26 ,{},{}
the company emphasized that McDonald 's USA does not import any raw beef or hamburger patties from Canada for McDonald 's use in the United States .,McDonald 's said in a statement that it does not import any raw beef or hamburger patties from Canada for use in the United States .,news-C:2705,test,26-25 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 21-20 22-21 23-22 24-23 25-24 4-0 5-1 ,{},{},{},2-2 2-3 2-4 2-5 3-6 4-0 5-1 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 21-20 22-21 23-22 24-23 25-24 26-25 ,4-7 5-7 6-23 6-24 19-0 20-1 ,{},{}
a couple have been arrested for starving their four sons while letting their daughters feast in front of them .,"a couple starved their four adopted sons for years while allowing their daughters to feast on takeaways , police and neighbours said today .",news-C:1259,test,19-23 0-0 1-1 7-3 8-4 12-11 13-12 6-2 9-6 11-10 14-14 4-5 10-9 ,{},{},{},0-0 1-1 6-2 7-3 8-4 9-6 10-9 11-10 12-11 13-12 14-14 19-23 ,{},{},{}
"'' it 's probably not the easiest time to take over the shuttle program '' , he added '' , but I look forward to the challenge .","'' it is probably not the easiest time to come in and take over the shuttle program , but then again , I look forward to the challenge '' , he said .",news-C:104,test,27-32 3-3 4-4 5-5 6-6 7-7 8-8 21-22 22-23 23-24 24-25 25-26 26-27 9-12 10-13 11-14 12-15 13-16 14-28 15-29 16-30 0-0 1-1 19-17 20-18 17-31 2-2 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-12 10-13 11-14 12-15 13-16 14-28 15-29 16-30 17-31 20-18 21-22 22-23 23-24 24-25 25-26 26-27 27-32 ,{},{},{}
"Sharon says he is willing to free the two as holding them will not bring back Arad , who Israel believes is held by Iran .","Sharon has said he is willing to free Dirani and Obeid because holding them will not bring back Arad , who Israel believes is held by Iran .",news-C:2190,test,25-27 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24 23-25 24-26 2-3 3-4 4-5 5-6 6-7 0-0 1-2 9-11 ,{},{},{},0-0 2-3 3-4 4-5 5-6 6-7 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-24 23-25 24-26 25-27 ,1-1 1-2 7-8 7-9 7-10 8-8 8-9 8-10 ,{},{}
"they had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","on June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",news-C:1,test,20-21 1-8 2-9 3-10 4-11 5-12 6-13 7-14 8-0 9-1 10-2 11-3 12-16 13-17 15-19 16-20 ,{},{},{},1-8 2-9 3-10 4-11 5-12 6-13 7-14 8-0 9-1 10-2 11-15 12-16 13-17 15-19 16-20 20-21 ,0-4 0-5 0-6 0-7 14-18 ,{},{}
the first products are likely to be dongles costing between US$ 100 and US$ 150 that will establish connections between consumer electronics devices and PCs .,the first products will likely be dongles costing $ 100 to $ 150 that will establish connections between consumer electronics devices and PCs .,news-C:556,test,25-23 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 0-0 1-1 2-2 6-5 7-6 8-7 4-4 11-9 ,{},{},{},0-0 1-1 2-2 4-4 6-5 7-6 8-7 9-10 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 ,3-3 ,{},{}
it was to fly a plane in the White House '' .,"'' it was to fly a plane into the White House '' , Mr. Karas said .",news-C:1036,test,11-16 0-1 1-2 2-3 3-4 4-5 5-6 7-8 8-9 9-10 10-11 ,{},{},{},0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 11-12 ,{},{},{}
"police searched Tanzi 's home near Parma on Wednesday , and prosecutors had sought to interrogate him that day only to find he had left Italy for an undisclosed foreign country .","magistrates searched Tanzi 's home near Parma on Wednesday and tried to question him the same day , only to find he had left Italy for an undisclosed foreign country .",news-C:2058,test,31-30 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 15-12 14-11 16-13 13-10 18-16 10-9 ,{},{},{},1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 10-9 14-11 15-12 16-13 17-14 17-15 18-16 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 31-30 ,0-0 11-0 12-10 13-10 ,{},{}
the measures could be taken up by the full Senate as early as Friday .,Ratliff said he hopes to bring the two measures to the full Senate by Friday .,news-C:1468,test,14-15 7-10 8-11 9-12 13-14 1-8 4-5 0-6 ,{},{},{},0-6 1-8 7-10 8-11 9-12 10-13 11-13 12-13 13-14 14-15 ,2-3 2-4 2-5 2-9 3-3 3-4 3-5 3-9 4-3 4-4 4-5 4-9 5-3 5-4 5-5 5-9 6-3 6-4 6-5 6-9 ,{},{}
but he added that the New York-based actor and producer is '' a private person and does n't care to have his treatment out for public consumption '' .,but he added that De Niro is '' a private person and does n't care to have his treatment out for public consumption '' .,news-C:95,test,28-24 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-20 25-21 26-22 27-23 0-0 1-1 2-2 3-3 ,{},{},{},0-0 1-1 2-2 3-3 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 21-17 22-18 23-19 24-20 25-21 26-22 27-23 28-24 ,4-4 4-5 5-4 5-5 6-4 6-5 7-4 7-5 8-4 8-5 9-4 9-5 ,{},{}
U.S. corporate bond yield spreads tightened in spotty trading on Friday as Wall Street labored to get back on its feet after the largest power outage ever in North America .,"U.S. stocks rose slightly on feather-light volume on Friday , as Wall Street regrouped after the biggest-ever power outage in North America .",news-C:659,test,30-22 27-19 28-20 29-21 11-10 12-11 13-12 9-7 10-8 21-14 22-15 24-17 25-18 0-0 26-16 ,{},{},{},0-0 1-1 2-1 9-7 10-8 11-10 12-11 13-12 21-14 22-15 23-16 24-17 25-18 26-16 27-19 28-20 29-21 30-22 ,3-2 3-3 3-4 3-5 3-6 4-2 4-3 4-4 4-5 4-6 5-2 5-3 5-4 5-5 5-6 6-2 6-3 6-4 6-5 6-6 7-2 7-3 7-4 7-5 7-6 8-2 8-3 8-4 8-5 8-6 14-13 15-13 16-13 17-13 18-13 19-13 20-13 ,{},{}
the decision unnerved voting officials who already have been warning that they have barely enough time to organize the election before the balloting is scheduled to begin .,the decision unnerved voting officials who already have been warning they have barely enough time to organize the election .,news-C:772,test,27-19 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 27-19 ,{},{},{}
"'' the message is : if an individual is thinking of getting a flu shot , they should n't wait .","'' the message to the public is : if you are thinking of getting a flu shot , do n't wait any longer '' , he said .",news-C:2746,test,20-27 9-11 10-12 11-13 12-14 13-15 14-16 15-17 0-0 1-1 2-2 3-6 4-7 5-8 18-19 19-20 8-10 ,{},{},{},0-0 1-1 2-2 3-6 4-7 5-8 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 17-18 17-19 18-18 18-19 19-20 19-21 19-22 ,6-9 7-9 ,{},{}
seven of the nine Democratic presidential candidates were also scheduled to address the forum .,seven of nine Democratic candidates for president also said they would participate in the conference Monday .,news-C:1211,test,14-16 0-0 1-1 3-2 4-3 6-4 5-6 8-7 ,{},{},{},0-0 1-1 3-2 4-3 6-4 8-7 12-13 13-14 14-16 ,5-5 5-6 7-8 7-9 7-10 7-11 7-12 9-8 9-9 9-10 9-11 9-12 10-8 10-9 10-10 10-11 10-12 11-8 11-9 11-10 11-11 11-12 ,{},{}
"under the 1973 Roe vs. Wade ruling , before a fetus could live outside the womb , the abortion decision was left to the woman and her physician .","under the original Roe v. Wade ruling , the abortion decision was left to the woman and her physician before a fetus could live outside the womb .",news-C:1429,test,28-27 16-7 17-8 18-9 19-10 20-11 21-12 22-13 23-14 24-15 25-16 26-17 27-18 8-19 9-20 10-21 11-22 12-23 13-24 14-25 15-26 5-5 6-6 0-0 1-1 3-3 4-4 ,{},{},{},0-0 1-1 3-3 4-4 5-5 6-6 8-19 9-20 10-21 11-22 12-23 13-24 14-25 15-26 16-7 17-8 18-9 19-10 20-11 21-12 22-13 23-14 24-15 25-16 26-17 27-18 28-27 ,2-2 ,{},{}
"Mr. Bloomberg later told reporters that the agreement '' will be a compromise , like the real world requires '' .","'' it will be a compromise , like the real world requires '' , he said .",news-C:631,test,20-16 9-2 10-3 11-4 12-5 13-6 14-7 15-8 16-9 17-10 18-11 19-12 3-15 8-0 ,{},{},{},3-15 4-15 5-15 8-0 9-2 10-3 11-4 12-5 13-6 14-7 15-8 16-9 17-10 18-11 20-13 ,0-14 1-14 6-1 7-1 ,{},{}
prosecutors said the investment was a breach of duty and resulted in the pension fund immediately losing $ 1 million .,the indictment says the investment was a breach of fiduciary duties and resulted in the state pension fund immediately losing $ 1 million .,news-C:1554,test,20-23 13-16 14-17 15-18 16-19 17-20 18-21 19-22 2-3 3-4 4-5 5-6 6-7 7-8 9-11 10-12 11-13 12-14 1-2 8-10 ,{},{},{},0-0 0-1 2-3 3-4 4-5 5-6 6-7 7-8 8-10 9-11 10-12 11-13 12-14 13-16 14-17 15-18 16-19 17-20 18-21 19-22 20-23 ,1-2 ,{},{}
"he was sent to Larned State Hospital , where he was evaluated and treated .",he ordered him sent to the Larned State Security Hospital for continued evaluation and treatment .,news-C:523,test,14-15 2-3 3-4 4-6 5-7 6-9 4-8 5-8 6-8 11-12 13-14 12-13 0-2 ,{},{},{},2-3 3-4 4-6 5-7 6-9 12-13 14-15 ,0-2 1-1 1-2 9-2 11-12 13-14 ,{},{}
"they passed through the Lemelson Medical , Educational and Research Foundation limited partnership in 2001 to Syndia .","it said the patents were '' allegedly '' assigned to Syndia in 2001 through the Lemelson Medical , Educational and Research Foundation Limited Partnership .",news-C:429,test,17-24 2-13 3-14 4-15 5-16 6-17 7-18 8-19 9-20 10-21 11-22 12-23 13-11 14-12 15-9 16-10 ,{},{},{},1-8 2-13 3-14 4-15 5-16 6-17 7-18 8-19 9-20 10-21 11-22 12-23 13-11 14-12 15-9 16-10 17-24 ,0-2 0-3 ,{},{}
"the intelligence service , headed by Fujimori 's spy chief , Vladimiro Montesinos , was accused of torture , drug trafficking and disappearances .","the head of the intelligence service under Mr. Fujimori , Vladimiro Montesinos , was accused of tortures and disappearances .",news-C:2128,test,23-19 10-9 11-10 12-11 13-12 14-13 15-14 16-15 0-3 1-4 2-5 21-17 22-18 6-8 4-1 17-16 ,{},{},{},0-3 1-4 2-5 6-7 6-8 7-6 10-9 11-10 12-11 13-12 14-13 15-14 16-15 17-16 21-17 22-18 23-19 ,4-0 4-1 4-2 5-0 5-1 5-2 ,{},{}
"consumers who said jobs are difficult to find jumped from 29.4 to 32.6 , while those claiming work was plentiful slipped from 13 to 12.6 .","consumers who said jobs are difficult to find jumped to 32.6 from 29.4 , while those saying work was plentiful slipped to 12.6 from 13 in April .",news-C:322,test,25-27 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 17-17 18-18 19-19 20-20 13-13 14-14 15-15 9-11 10-12 11-9 12-10 21-23 22-24 23-21 24-22 16-16 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-11 10-12 11-9 12-10 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-23 22-24 23-21 24-22 25-27 ,{},{},{}
"Gregory Parseghian , a former investment banker , was appointed chief executive .",Greg Parseghian was appointed the new chief executive .,news-C:2711,test,12-8 10-6 11-7 8-2 9-3 1-1 ,{},{},{},0-0 1-1 8-2 9-3 10-6 11-7 12-8 ,{},{},{}
they used discarded skin from consenting patients who had undergone surgery and exposed it to UVA light at intensities similar to that of sunlight .,Sanders and colleagues at RAFT exposed skin samples removed from consenting patients during surgery to UVA light at intensities similar to that of sunlight .,news-C:852,test,24-24 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 4-9 5-10 6-11 12-5 3-6 10-13 ,{},{},{},3-6 3-7 4-8 4-9 5-10 6-11 10-13 12-5 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 ,0-0 0-1 0-2 7-12 8-12 9-12 13-6 13-7 ,{},{}
supporters say a city casino will attract tourists and conventioneers who will gamble and spend money in restaurants and stores .,supporters say those people will gamble and have enough money left over to spend in restaurants and stores .,news-C:936,test,20-18 16-14 17-15 18-16 19-17 11-4 12-5 13-6 0-0 1-1 14-13 15-9 ,{},{},{},0-0 1-1 11-4 12-5 13-6 14-13 15-9 16-14 17-15 18-16 19-17 20-18 ,7-2 7-3 8-2 8-3 9-2 9-3 ,{},{}
initial reports indicated the shots had been fired from inside a mosque .,"according to Central Command 's initial reports , the attackers fired from a mosque in the city .",news-C:2035,test,12-17 0-5 1-6 7-10 8-11 10-12 11-13 ,{},{},{},0-5 1-6 7-10 8-11 10-12 11-13 12-17 ,2-0 2-1 ,{},{}
it was the first speech by a US president to a joint session of the Philippines Congress since 1960 .,President Bush on Saturday became the first American president to address a joint session of the Philippine National Congress since Dwight Eisenhower in 1960 .,news-C:2168,test,19-24 10-11 11-12 12-13 13-14 14-15 2-5 3-6 8-8 9-9 16-18 17-19 18-23 15-16 7-7 4-10 ,{},{},{},1-4 2-5 3-6 7-7 8-8 9-9 10-11 11-12 12-13 13-14 14-15 15-16 16-18 17-19 18-23 19-24 ,4-10 7-0 7-1 8-0 8-1 ,{},{}
"Ryan Harvey , an outfielder from Dunedin high school in Florida , was selected with the sixth pick by the Chicago Cubs .","Ryan Harvey , a high school outfielder from Florida , was chosen sixth by the Cubs .",news-C:178,test,22-16 0-0 1-1 2-2 10-8 11-9 12-10 7-4 8-5 4-6 5-7 18-13 19-14 21-15 20-15 13-11 16-12 3-3 ,{},{},{},0-0 1-1 2-2 3-3 4-6 5-7 7-4 8-5 10-8 11-9 12-10 13-11 16-12 18-13 19-14 20-15 21-15 22-16 ,{},{},{}
the findings were reported online in the June 1 edition of scientific journal Nature Medicine .,the findings are published in today 's edition of the journal Nature Medicine .,news-C:1268,test,15-13 12-10 13-11 14-12 0-0 1-1 9-7 10-8 5-4 2-2 ,{},{},{},0-0 1-1 3-3 5-4 6-6 9-7 10-8 12-10 13-11 14-12 15-13 ,2-2 7-5 8-5 ,{},{}
analysts attributed the increase in part to negative news from bankrupt competitor WorldCom Inc. WCOEQ.PK and talk that AT&T could be a takeover target .,"analysts attributed its rise to negative news from bankrupt competitor WorldCom Inc. WCOEQ.PK and talk that AT&T could be a takeover target , among other factors .",news-C:2719,test,25-27 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 0-0 1-1 3-3 ,{},{},{},0-0 1-1 2-2 3-3 4-23 4-24 4-25 5-23 5-24 5-25 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-26 ,{},{},{}
